mstorch_pt_ms,mstorch_pt_tf,mstorch_ms_tf,mstorch_lasttwo_dist,ms_distance,torch_distance,if_success,mut_types
2.7027366,-100,-100,0.8654548,0.28223848,380.96378,"True,True,True,True","LD,LS,RA,LC"
2.7553027,-100,-100,0.7991935,20.718231,38.120823,"True,True,True,True","RA,NAI,NAI,WS"
6.4390497,-100,-100,1.6108267,19.975594,23.518772,"True,True,True,True","NS,LD,WS,GF"
14.6152935,-100,-100,3.7651827,78.17197,32.682747,"True,True,True,True","LC,LC,LD,WS"
16.49852,-100,-100,4.1728067,85.52656,100.328995,"True,True,True,True","NS,NS,LA,NS"
18.333126,-100,-100,4.4347944,85.943726,100.69927,"True,True,True,True","GF,LD,RA,GF"
2515.3145,-100,-100,738.1647,99.41075,114.86908,"True,True,True,True","NEB,NS,LS,GF"
2617.7278,-100,-100,768.0572,11048.985,13412.857,"True,True,True,True","NEB,AFRM,RA,GF"
2945.9192,-100,-100,868.3024,10883.426,13297.217,"True,True,True,True","AFRM,AFRM,RA,AFRM"
4562.9766,-100,-100,1338.9315,25312.387,29944.855,"True,True,True,True","NS,NEB,LD,LC"
14021.315,-100,-100,4142.3013,50239.824,58893.805,"True,True,True,True","NAI,RA,GF,NAI"
12286.752,-100,-100,3618.4734,52472.367,64794.258,"True,True,True,True","LD,GF,LD,NAI"
15593.696,-100,-100,4610.929,55792.926,68595.234,"True,True,True,True","NEB,NEB,LD,NAI"
21546.57,-100,-100,6336.3823,54237.703,69204.1,"True,True,True,True","LA,GF,LS,NEB"
9944.815,-100,-100,2929.5173,44898.344,88055.21,"True,True,True,True","LC,LS,LD,NS"
2318.5444,-100,-100,1197.595,40011.61,47142.008,"True,True,True,True","NS,LS,RA,LD"
958.16766,-100,-100,492.19128,6815.385,8271.473,"True,True,True,True","LC,GF,AFRM,NEB"
635.2486,-100,-100,328.3368,8120.1016,8322.501,"True,True,True,False","LC,NEB,LC,LA"
755.60394,-100,-100,389.09613,3544.5972,3995.2793,"True,True,True,True","LS,AFRM,RA,NAI"
711.4018,-100,-100,366.44696,6455.8115,7703.8364,"True,True,True,True","LD,LC,RA,RA"
1303.7407,-100,-100,676.07654,5049.337,5293.8936,"True,True,True,True","AFRM,LA,GF,LC"
194.95741,-100,-100,100.669205,4696.7505,6583.5156,"True,True,True,True","NEB,RA,LD,NS"
194.71045,-100,-100,100.52663,876.08093,1071.5037,"True,True,True,True","NS,NEB,LC,NS"
52.99811,-100,-100,27.50083,876.1826,1072.2097,"True,True,True,True","LD,LS,NAI,NAI"
87.48647,-100,-100,52.301704,282.93323,375.10275,"True,True,True,True","NS,AFRM,RA,NEB"
