mut_types,mut_layer_name,mut_result
LS,"resnet.layer3.17.bn1,resnet.layer3.13.conv2",True
LS,"resnet.layer2.3.relu,resnet.layer2.1.bn3",True
LS,"resnet.layer3.13.bn3,resnet.layer3.7.relu",True
LS,"resnet.layer2.0.bn3,resnet.layer2.1.bn3",True
LS,"resnet.layer2.1.relu,resnet.layer2.1.bn3",True
LS,"resnet.layer3.13.relu,resnet.layer3.18.bn3",True
LS,"resnet.layer3.12.bn3,resnet.layer3.14.relu",True
LS,"resnet.layer3.17.conv2,resnet.layer3.8.bn2",True
LS,"resnet.layer3.0.relu,resnet.layer3.10.bn3",True
LS,"resnet.layer3.16.conv2,resnet.layer3.16.bn2",True
LS,"resnet.layer2.1.bn3,resnet.layer2.3.bn3",True
LS,"resnet.layer3.6.bn3,resnet.layer3.19.relu",True
LS,"resnet.layer3.13.bn1,resnet.layer3.12.conv2",True
LS,"resnet.layer4.0.conv2,resnet.layer4.1.bn1",True
LS,"resnet.layer2.3.bn1,resnet.layer2.2.conv2",True
LS,"resnet.layer2.0.bn3,resnet.layer2.2.bn3",True
LS,"resnet.layer3.17.bn3,resnet.layer3.2.relu",True
LS,"resnet.layer3.12.bn1,resnet.layer3.5.conv2",True
LS,"resnet.layer3.8.bn3,resnet.layer3.20.relu",True
LS,"resnet.layer3.6.bn2,resnet.layer3.8.conv2",True
LS,"resnet.layer3.20.bn3,resnet.layer3.13.bn3",True
LS,"resnet.layer3.18.bn1,resnet.layer3.1.conv2",True
LS,"resnet.layer3.11.conv2,resnet.layer3.5.bn2",True
LS,no,set layers failure
LS,"resnet.layer3.12.bn3,resnet.layer3.14.relu",True
LS,"resnet.layer3.5.conv2,resnet.layer3.20.conv2",True
LS,no,set layers failure
LS,"resnet.layer3.5.conv2,resnet.layer3.0.bn2",True
LS,"resnet.layer4.0.relu,resnet.layer4.2.bn3",True
LS,"resnet.layer1.1.relu,resnet.layer1.2.bn3",True
LS,"resnet.layer3.7.bn3,resnet.layer3.10.relu",True
