mut_types,mut_layer_name,mut_result
RA,stage_2.relu,True
RA,stage_5.relu,True
RA,stage_6.relu,True
RA,stage_3.relu,True
RA,stage_6.relu,True
RA,stage_6.relu,True
RA,stage_6.relu,True
RA,stage_2.relu,True
RA,stage_6.relu,True
RA,stage_4.relu,True
RA,stage_3.relu,True
RA,stage_4.relu,True
RA,stage_3.relu,True
RA,stage_6.relu,True
RA,stage_3.relu,True
RA,stage_6.relu,True
RA,stage_6.relu,True
RA,stage_2.relu,True
RA,stage_6.relu,True
RA,stage_5.relu,True
RA,stage_1.relu,True
RA,stage_5.relu,True
RA,stage_1.relu,True
RA,stage_4.relu,True
RA,stage_2.relu,True
RA,stage_4.relu,True
RA,stage_3.relu,True
RA,stage_2.relu,True
RA,stage_5.relu,True
RA,stage_3.relu,True
RA,stage_3.relu,True
RA,stage_3.relu,True
RA,stage_2.relu,True
RA,stage_2.relu,True
RA,stage_6.relu,True
RA,stage_4.relu,True
RA,stage_4.relu,True
RA,stage_6.relu,True
RA,stage_2.relu,True
RA,stage_3.relu,True
RA,stage_3.relu,True
RA,stage_5.relu,True
RA,stage_5.relu,True
RA,stage_1.relu,True
RA,stage_1.relu,True
RA,stage_6.relu,True
RA,stage_4.relu,True
RA,stage_2.relu,True
RA,stage_4.relu,True
RA,stage_4.relu,True
RA,stage_2.relu,True
RA,stage_4.relu,True
RA,stage_3.relu,True
RA,stage_4.relu,True
RA,stage_2.relu,True
RA,stage_6.relu,True
RA,stage_6.relu,True
RA,stage_5.relu,True
RA,stage_4.relu,True
RA,stage_6.relu,True
RA,stage_2.relu,True
RA,stage_2.relu,True
RA,stage_2.relu,True
RA,stage_4.relu,True
RA,stage_1.relu,True
RA,stage_4.relu,True
RA,stage_6.relu,True
RA,stage_3.relu,True
RA,stage_6.relu,True
RA,stage_5.relu,True
RA,stage_6.relu,True
RA,stage_1.relu,True
RA,stage_5.relu,True
RA,stage_4.relu,True
RA,stage_2.relu,True
RA,stage_1.relu,True
RA,stage_5.relu,True
RA,stage_3.relu,True
RA,stage_3.relu,True
RA,stage_3.relu,True
RA,stage_1.relu,True
RA,stage_2.relu,True
RA,stage_6.relu,True
RA,stage_3.relu,True
RA,stage_6.relu,True
RA,stage_3.relu,True
RA,stage_1.relu,True
RA,stage_1.relu,True
RA,stage_5.relu,True
RA,stage_6.relu,True
RA,stage_6.relu,True
RA,stage_4.relu,True
RA,stage_5.relu,True
RA,stage_5.relu,True
RA,stage_4.relu,True
RA,stage_3.relu,True
RA,stage_1.relu,True
RA,stage_4.relu,True
RA,stage_2.relu,True
RA,stage_5.relu,True
