mut_types,mut_layer_name,mut_result
LD,layers.25,True
LD,layers.41,True
LD,layers.38,True
LD,layers.15,True
LD,layers.8,True
LD,layers.18,True
LD,layers.11,True
LD,layers.21,True
LD,layers.35,True
LD,layers.31,True
LD,layers.28,True
LD,layers.4,True
LD,layers.1,True
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
