mut_types,mut_layer_name,mut_result
LS,"stage_6.relu,stage_2.conv5_L1",True
LS,"stage_5.relu,stage_4.conv5_L2",True
LS,"stage_4.conv2_L1,stage_2.relu",True
LS,"stage_4.conv5_L2,stage_1.conv1_CPM_L1",True
LS,"stage_3.relu,stage_2.conv6_L2",True
LS,"stage_1.conv1_CPM_L1,stage_2.conv4_L2",True
LS,"stage_4.relu,stage_6.relu",True
LS,"stage_1.conv2_CPM_L2,stage_4.conv2_L1",True
LS,"stage_4.conv4_L2,stage_1.conv2_CPM_L2",True
LS,"stage_2.conv4_L2,stage_5.conv5_L1",True
LS,"stage_5.conv5_L1,stage_3.conv6_L2",True
LS,"stage_5.conv2_L1,stage_2.conv5_L1",True
LS,"stage_4.conv6_L1,stage_3.conv6_L2",True
LS,"stage_4.conv4_L1,stage_4.conv4_L2",True
LS,"stage_5.conv2_L1,stage_2.conv4_L2",True
LS,"stage_6.relu,stage_6.conv5_L1",True
LS,"stage_2.conv6_L2,stage_3.conv4_L1",True
LS,"stage_4.conv6_L1,stage_4.conv3_L1",True
LS,"stage_4.conv4_L1,stage_5.conv5_L1",True
LS,"stage_6.relu,stage_5.conv5_L1",True
LS,"stage_6.conv3_L1,stage_3.conv4_L1",True
LS,"stage_1.conv3_CPM_L1,stage_6.relu",True
LS,"stage_6.conv5_L1,stage_4.conv5_L1",True
LS,"stage_5.conv5_L2,stage_4.conv3_L1",True
LS,"stage_6.conv3_L1,stage_6.conv5_L2",True
LS,"stage_5.conv6_L1,stage_5.conv5_L2",True
LS,"stage_1.conv3_CPM_L1,stage_3.conv5_L2",True
LS,"stage_2.conv4_L2,stage_1.conv3_CPM_L1",True
LS,"stage_4.conv5_L2,stage_6.conv5_L2",True
LS,"stage_4.conv5_L2,stage_6.conv2_L1",True
LS,"stage_1.conv1_CPM_L2,stage_5.conv6_L1",True
LS,"stage_1.conv1_CPM_L2,stage_5.conv6_L1",True
LS,"stage_3.conv5_L2,stage_4.conv3_L2",True
LS,"stage_3.conv2_L2,stage_4.conv3_L2",True
LS,"stage_6.relu,stage_1.conv3_CPM_L1",True
LS,"stage_4.conv2_L1,stage_6.conv2_L1",True
LS,"stage_3.conv2_L2,stage_6.conv6_L1",True
LS,"stage_6.conv6_L1,stage_6.conv2_L1",True
LS,"stage_4.conv4_L2,stage_5.conv6_L1",True
LS,"stage_2.conv5_L2,stage_6.relu",True
LS,"stage_1.conv2_CPM_L1,stage_6.conv2_L1",True
LS,"stage_2.conv5_L2,stage_5.conv2_L2",True
LS,"stage_5.conv2_L2,stage_6.conv2_L2",True
LS,"stage_4.conv4_L2,stage_1.conv3_CPM_L1",True
LS,"stage_6.conv2_L1,stage_4.conv2_L1",True
LS,"stage_1.conv3_CPM_L2,stage_1.conv3_CPM_L1",True
LS,"stage_6.conv2_L2,stage_6.conv3_L1",True
LS,"stage_2.conv2_L2,stage_6.conv2_L1",True
LS,"stage_4.relu,stage_1.conv3_CPM_L2",True
LS,"stage_2.conv2_L2,stage_4.conv4_L1",True
LS,"stage_6.conv6_L1,stage_6.conv3_L1",True
LS,"stage_4.relu,stage_6.conv5_L2",True
LS,"stage_3.conv3_L2,stage_6.conv6_L1",True
LS,"stage_4.conv4_L1,stage_2.relu",True
LS,"stage_4.conv5_L1,stage_4.conv4_L1",True
LS,"stage_2.conv6_L1,stage_2.relu",True
LS,"stage_4.conv4_L1,stage_4.relu",True
LS,"stage_4.conv5_L1,stage_3.conv3_L2",True
LS,"stage_6.conv5_L1,stage_4.relu",True
LS,"stage_1.conv2_CPM_L1,stage_6.conv3_L2",True
LS,"stage_4.conv2_L2,stage_6.conv5_L2",True
LS,"stage_4.conv5_L1,stage_6.conv6_L1",True
LS,"stage_3.conv5_L1,stage_6.conv5_L1",True
LS,"stage_2.conv4_L1,stage_6.conv3_L2",True
LS,"stage_3.conv2_L2,stage_2.conv6_L1",True
LS,"stage_6.conv4_L2,stage_2.conv4_L1",True
LS,"stage_5.conv4_L1,stage_3.conv2_L2",True
LS,"stage_5.conv2_L2,stage_6.conv4_L2",True
LS,"stage_5.conv2_L2,stage_3.conv2_L1",True
LS,"stage_1.conv1_CPM_L1,stage_5.conv4_L1",True
LS,"stage_5.conv6_L2,stage_3.conv2_L1",True
LS,"stage_4.conv2_L2,stage_5.relu",True
LS,"stage_3.relu,stage_5.relu",True
LS,"stage_1.conv1_CPM_L1,stage_3.conv3_L1",True
LS,"stage_5.conv2_L2,stage_3.conv5_L1",True
LS,"stage_2.conv5_L1,stage_6.conv6_L1",True
LS,"stage_4.conv2_L1,stage_5.conv2_L2",True
LS,"stage_4.conv2_L1,stage_1.conv3_CPM_L1",True
LS,"stage_4.conv3_L1,stage_1.conv3_CPM_L1",True
LS,"stage_3.conv3_L1,stage_2.relu",True
LS,"stage_2.conv2_L1,stage_3.relu",True
LS,"stage_2.relu,stage_1.conv3_CPM_L1",True
LS,"stage_2.conv5_L1,stage_3.relu",True
LS,"stage_4.conv6_L1,stage_3.relu",True
LS,"stage_1.conv3_CPM_L1,stage_4.conv4_L1",True
LS,"stage_4.conv4_L1,stage_1.conv3_CPM_L2",True
LS,"stage_5.conv3_L2,stage_4.conv6_L1",True
LS,"stage_5.conv6_L2,stage_3.conv2_L2",True
LS,"stage_2.conv2_L1,stage_3.conv6_L2",True
LS,"stage_6.conv5_L1,stage_4.conv3_L1",True
LS,"stage_5.conv3_L2,stage_6.conv5_L2",True
LS,"stage_2.relu,stage_6.conv5_L2",True
LS,"stage_2.relu,stage_6.conv3_L2",True
LS,"stage_2.conv2_L2,stage_1.conv3_CPM_L2",True
LS,"stage_3.conv2_L2,stage_3.conv2_L1",True
LS,"stage_6.conv3_L2,stage_1.conv1_CPM_L2",True
LS,"stage_3.conv3_L1,stage_6.conv5_L1",True
LS,"stage_1.conv1_CPM_L2,stage_5.conv2_L1",True
LS,"stage_3.conv2_L1,stage_6.conv3_L1",True
LS,"stage_2.conv2_L2,stage_1.conv1_CPM_L2",True
