mut_types,mut_layer_name,mut_result
LS,"layers.2,layers.1",True
LS,"layers.5,layers.4",True
LS,"layers.12,layers.11",True
LS,"layers.32,layers.31",True
LS,"layers.5,layers.4",True
LS,"layers.31,layers.32",True
LS,"layers.11,layers.12",True
LS,"layers.16,layers.15",True
LS,"layers.38,layers.39",True
LS,"layers.12,layers.11",True
LS,"layers.15,layers.16",True
LS,"layers.18,layers.19",True
LS,"layers.21,layers.22",True
LS,"layers.15,layers.16",True
LS,"layers.2,layers.1",True
LS,"layers.25,layers.26",True
LS,"layers.29,layers.28",True
LS,"layers.9,layers.8",True
LS,"layers.26,layers.25",True
LS,"layers.15,layers.16",True
LS,"layers.39,layers.38",True
LS,"layers.1,layers.2",True
LS,"layers.35,layers.36",True
LS,"layers.31,layers.32",True
LS,"layers.28,layers.29",True
LS,"layers.42,layers.41",True
LS,"layers.5,layers.4",True
LS,"layers.32,layers.31",True
LS,"layers.22,layers.21",True
LS,"layers.1,layers.2",True
LS,"layers.12,layers.11",True
LS,"layers.25,layers.26",True
LS,"layers.11,layers.12",True
LS,"layers.16,layers.15",True
LS,"layers.36,layers.35",True
LS,"layers.19,layers.18",True
LS,"layers.39,layers.38",True
LS,"layers.38,layers.39",True
LS,"layers.2,layers.1",True
LS,"layers.39,layers.38",True
LS,"layers.26,layers.25",True
LS,"layers.35,layers.36",True
LS,"layers.32,layers.31",True
LS,"layers.18,layers.19",True
LS,"layers.35,layers.36",True
LS,"layers.2,layers.1",True
LS,"layers.21,layers.22",True
LS,"layers.25,layers.26",True
LS,"layers.26,layers.25",True
LS,"layers.9,layers.8",True
LS,"layers.41,layers.42",True
LS,"layers.2,layers.1",True
LS,"layers.39,layers.38",True
LS,"layers.26,layers.25",True
LS,"layers.21,layers.22",True
LS,"layers.28,layers.29",True
LS,"layers.39,layers.38",True
LS,"layers.9,layers.8",True
LS,"layers.1,layers.2",True
LS,"layers.26,layers.25",True
LS,"layers.1,layers.2",True
LS,"layers.26,layers.25",True
LS,"layers.18,layers.19",True
LS,"layers.38,layers.39",True
LS,"layers.21,layers.22",True
LS,"layers.11,layers.12",True
LS,"layers.25,layers.26",True
LS,"layers.22,layers.21",True
LS,"layers.31,layers.32",True
LS,"layers.11,layers.12",True
LS,"layers.32,layers.31",True
LS,"layers.22,layers.21",True
LS,"layers.18,layers.19",True
LS,"layers.4,layers.5",True
LS,"layers.32,layers.31",True
LS,"layers.29,layers.28",True
LS,"layers.11,layers.12",True
LS,"layers.28,layers.29",True
LS,"layers.11,layers.12",True
LS,"layers.9,layers.8",True
LS,"layers.18,layers.19",True
LS,"layers.15,layers.16",True
LS,"layers.36,layers.35",True
LS,"layers.42,layers.41",True
LS,"layers.26,layers.25",True
LS,"layers.18,layers.19",True
LS,"layers.2,layers.1",True
LS,"layers.21,layers.22",True
LS,"layers.31,layers.32",True
LS,"layers.21,layers.22",True
LS,"layers.42,layers.41",True
LS,"layers.19,layers.18",True
LS,"layers.39,layers.38",True
LS,"layers.41,layers.42",True
LS,"layers.8,layers.9",True
LS,"layers.4,layers.5",True
LS,"layers.8,layers.9",True
LS,"layers.4,layers.5",True
LS,"layers.1,layers.2",True
LS,"layers.41,layers.42",True
