pt_ms,pt_tf,ms_tf
0.00018605658,5.7598783e-05,0.00018170002
0.00045755706,0.00026338105,0.00043116204
9.81513e-05,8.33807e-05,5.99499e-05
5.1936717e-05,7.5242006e-06,5.2849915e-05
5.2843683e-05,7.767784e-06,5.4078868e-05
5.157995e-05,7.636439e-06,5.2339252e-05
5.0508308e-05,7.602703e-06,5.1202285e-05
5.113357e-05,7.6279234e-06,5.1849e-05
5.0691884e-05,7.676504e-06,5.144332e-05
4.4568847e-06,1.7422211e-06,4.392063e-06
4.4568847e-06,1.723887e-06,4.3961986e-06
9.813869e-06,4.8408597e-06,1.0101618e-05
8.6074084e-05,4.118201e-05,7.70078e-05
5.359426e-05,7.3849837e-06,5.446462e-05
5.3183066e-05,8.007646e-06,5.3728312e-05
5.3228192e-05,8.020692e-06,5.3706863e-05
8.022596e-05,3.790726e-05,7.502465e-05
6.916465e-06,4.102942e-06,7.939969e-06
5.182915e-05,7.690701e-06,5.238162e-05
5.2840333e-05,7.643737e-06,5.3721255e-05
