mstorch_pt_ms,mstorch_pt_tf,mstorch_ms_tf,mstorch_lasttwo_dist,ms_distance,torch_distance,if_success
0.754829,-100,-100,1.513389,1.0771517e-05,1415121200.0,True
1.7065818,-100,-100,3.483326,1.3793638e-05,0.11375776,True
5.008442,-100,-100,10.413923,1.8712042e-05,0.115414895,True
7.95379,-100,-100,16.644344,1.9794521e-05,0.12962222,True
11.462839,-100,-100,23.749535,2.0065681e-05,0.15129869,True
23.579334,-100,-100,48.15283,1.9776253e-05,0.24459487,True
35.581573,-100,-100,71.42865,2.0506268e-05,0.41030917,True
59.75509,-100,-100,120.83852,1.9607169e-05,1.2639366,True
96.389114,-100,-100,196.31047,2.3117811e-05,5.543783,True
171.58609,-100,-100,352.1637,2.2717231e-05,8226.934,True
