mstorch_pt_ms,mstorch_pt_tf,mstorch_ms_tf,mstorch_lasttwo_dist,ms_distance,torch_distance,if_success
14.403597,-100,-100,28.906763,1.7236816e-06,19584397000.0,True
64.404205,-100,-100,127.280235,3.4351367e-06,0.14721254,True
139.4057,-100,-100,271.0489,3.9955185e-06,0.13633174,True
858.50574,-100,-100,291.3661,4.737791e-06,65.04794,True
760.0768,-100,-100,259.58658,5.5206306e-06,5879.6694,True
1031.4244,-100,-100,352.6273,5.925714e-06,7295794.5,True
2695.2705,-100,-100,917.423,6.1248716e-06,37107.754,True
9407.244,-100,-100,3200.663,7.514873e-06,6.0604687e+29,True
34836.527,-100,-100,11844.164,1.02674985e-05,inf,True
2257.4639,-100,-100,770.18427,7.335292e-06,inf,True
1756.7888,-100,-100,599.0376,5.6886943e-06,2.6932045e+18,True
8214.294,-100,-100,2798.0078,6.8012355e-06,inf,True
8956.837,-100,-100,3042.1309,7.321825e-06,inf,True
4077.3242,-100,-100,1389.1642,7.269075e-06,inf,True
8746.141,-100,-100,2970.0146,6.6599073e-06,9.818777e+28,True
4314.4966,-100,-100,1469.2872,6.7743044e-06,inf,True
2777.5608,-100,-100,945.4946,7.619754e-06,95606340000000.0,True
1176.9471,-100,-100,400.71512,7.111884e-06,128488140000.0,True
285.49667,-100,-100,96.892685,7.200888e-06,112080.336,True
420.79254,-100,-100,142.81873,7.001744e-06,71579760.0,True
