mstorch_pt_ms,mstorch_pt_tf,mstorch_ms_tf,mstorch_lasttwo_dist,ms_distance,torch_distance,if_success
0.27701098,-100,-100,0.5454744,9.650447e-08,0.12641463,True
0.47550312,-100,-100,0.9549705,8.7387025e-07,0.11927782,True
0.32430327,-100,-100,0.65419704,1.08843e-06,0.119045325,True
0.32486883,-100,-100,0.6537398,1.7246244e-06,0.11886837,True
0.5657065,-100,-100,1.150908,1.8052083e-06,0.11886853,True
0.5846276,-100,-100,1.1929215,2.6793803e-06,0.11902707,True
0.701197,-100,-100,1.4266459,3.2684534e-06,0.11890997,True
0.87617,-100,-100,1.775347,3.373164e-06,0.11922266,True
0.6901339,-100,-100,1.3976413,3.5797982e-06,0.119298115,True
0.85137165,-100,-100,1.7585316,3.5715507e-06,0.11949278,True
1.0680201,-100,-100,2.1893597,3.7391749e-06,0.11951376,True
3.9715133,-100,-100,8.160324,3.722006e-06,0.11975496,True
3.899547,-100,-100,7.9956055,3.7537063e-06,0.12034164,True
3.978492,-100,-100,8.176553,3.8620046e-06,0.12048145,True
4.0421443,-100,-100,8.300987,3.9076976e-06,0.12086154,True
3.8166351,-100,-100,7.779484,3.91e-06,0.12066596,True
3.154655,-100,-100,6.445894,4.6818923e-06,0.122710906,True
3.246902,-100,-100,6.6606903,4.7341437e-06,0.12300773,True
3.9558487,-100,-100,8.031969,4.863519e-06,0.12355541,True
3.5556939,-100,-100,7.1615386,4.858983e-06,0.12675485,True
