mstorch_pt_ms,mstorch_pt_tf,mstorch_ms_tf,mstorch_lasttwo_dist,ms_distance,torch_distance,if_success
0.42601514,0.0014971733,0.42531353,0.020447247,0.012142887,3.3436952,True
0.4463657,0.0010475874,0.44615477,0.020733284,0.199025,3.3858006,True
0.47067237,0.0013673902,0.4703602,0.020360596,0.20169489,3.37681,True
0.48048362,0.0014257118,0.48072568,0.020425975,0.22395077,3.3683555,True
0.43328103,0.0013235479,0.43324432,0.021807957,0.23836836,3.3330579,True
0.49018875,0.0006642282,0.4900863,0.021594651,0.28382874,3.3295345,True
0.33719742,0.0011883259,0.3363628,0.020338345,0.38831997,3.335844,True
0.35443687,0.00080805423,0.3544029,0.020567195,0.44757038,3.3232296,True
0.45580018,0.001232481,0.45481557,0.02172615,0.47090682,3.318737,True
0.50604314,0.0011937156,0.5061399,0.024252089,0.4429911,3.3301704,True
0.49460238,0.0013933718,0.49473324,0.024140887,0.4683453,3.3199532,True
0.47644225,0.0009948745,0.47572663,0.02406521,0.4833716,3.3196514,True
0.51346797,0.00079838483,0.5140259,0.024545461,0.48229545,3.3211703,True
0.4500858,0.001053004,0.45001748,0.023613527,0.4953622,3.3160927,True
0.4565566,0.0009283021,0.4564213,0.02418442,0.4982316,3.343687,True
0.4359087,0.00096867385,0.43567127,0.02399562,0.5093839,3.347732,True
0.48434657,0.00075022725,0.4839999,0.024723578,0.51391923,3.342173,True
0.48362014,0.0011859133,0.48312628,0.024609694,0.57525474,3.3471742,True
0.51994,0.0008581296,0.5196592,0.024667844,0.57708246,3.3380985,True
0.5600903,0.0011687189,0.5598748,0.024850931,0.5644055,3.342493,True
