mstorch_pt_ms,mstorch_pt_tf,mstorch_ms_tf,mstorch_lasttwo_dist,ms_distance,torch_distance,if_success
0.005210905,-100,-100,19.360035,0.22275701,948.4542,True
1.0194494,-100,-100,49.400112,287.35175,0.3954518,True
24.467598,-100,-100,617.71094,287.3521,289.09564,True
20.020752,-100,-100,6390.3228,282.373,266.71405,True
19.65104,-100,-100,6390.298,282.37527,264.85345,True
19.662031,-100,-100,51175.99,282.38602,265.21274,True
19.662031,-100,-100,51175.99,282.38602,265.19745,True
19.662031,-100,-100,51175.99,282.38602,265.19745,True
19.648888,-100,-100,6520883.0,279.38275,265.19745,True
15.111308,-100,-100,417338560.0,279.38556,272.1287,True
14.90174,-100,-100,40891855000.0,296.42865,272.28583,True
14.90174,-100,-100,40891855000.0,296.42865,288.85495,True
45.04197,-100,-100,1299687700000.0,891.5124,288.92715,True
45.04197,-100,-100,1299687700000.0,891.5124,868.99817,True
55.69193,-100,-100,128051700000000.0,889.43195,870.0702,True
3.2470076,-100,-100,3099433600000000.0,945.4253,948.3753,True
3.2470076,-100,-100,3099433600000000.0,945.4253,948.3753,True
3.3583457,-100,-100,2.7932188e+17,945.4159,948.3753,True
3.305002,-100,-100,2.7932188e+17,945.4159,948.467,True
3.3020394,-100,-100,4.336053e+18,945.4167,948.4632,True
