mut_types,mut_layer_name,mut_result
LA,layers.39,True
LA,layers.1,True
LA,layers.32,True
LA,no,LA Create illegal layer
LA,layers.1,True
LA,layers.8,True
LA,layers.38,True
LA,layers.2,True
LA,layers.41,True
LA,layers.28,True
LA,layers.22,True
LA,layers.42,True
LA,layers.26,True
LA,layers.1,True
LA,layers.21,True
LA,layers.28,True
LA,layers.9,True
LA,no,LA Create illegal layer
LA,layers.9,True
LA,no,LA Create illegal layer
LA,layers.18,True
LA,no,LA Create illegal layer
LA,layers.28,True
LA,layers.12,True
LA,layers.28,True
LA,layers.16,True
LA,layers.8,True
LA,layers.25,True
LA,layers.18,True
LA,layers.35,True
LA,layers.5,True
LA,layers.39,True
LA,layers.22,True
LA,layers.39,True
LA,no,LA Create illegal layer
LA,layers.9,True
LA,classifier.2,True
LA,layers.21,True
LA,layers.18,True
LA,layers.2,True
