pt_ms,pt_tf,ms_tf
0.00015727726,9.462148e-05,0.00014811885
3003.1062,1408.2355,2994.9573
1463333100.0,490860960.0,1074584700.0
1504523800.0,2426370600.0,1124257000.0
48042956.0,288322270.0,240605250.0
74038500.0,89504344.0,17990370.0
37248064.0,45879416.0,9294803.0
288190560.0,3015202300.0,3075920400.0
30745578.0,29336974.0,13260260.0
18984990.0,31577420.0,21554626.0
8439322.0,13112309.0,5027713.0
26311496000.0,32213535000.0,18806397000.0
105129110000.0,57741726000.0,153901840000.0
20105952000000.0,27463824000000.0,38961683000000.0
97910140000.0,43146720000.0,55019356000.0
20134230000.0,6218455600.0,18038500000.0
3505581600.0,2237001200.0,2958129000.0
1899309800.0,1171489900.0,1996045400.0
120819565000.0,69546795000.0,64028350000.0
2766231.2,1180032.9,2230468.5
