mstorch_pt_ms,mstorch_pt_tf,mstorch_ms_tf,mstorch_lasttwo_dist,ms_distance,torch_distance,if_success
0.79037046,-100,-100,0.045929052,1.4346924,7.243867,True
0.79037046,-100,-100,0.045929052,1.4346924,5.7558837,True
0.90046823,-100,-100,0.041978497,0.0,5.4861403,True
0.85630804,-100,-100,0.041814603,7.456723,3.3488934,True
0.89960665,-100,-100,0.048900805,6.8219275,4.496127,True
0.89960665,-100,-100,0.048900805,6.8219275,20.571184,True
0.9041764,-100,-100,0.049015783,6.823265,3.540624,True
1.8042787,-100,-100,0.107326075,6.870968,2.0225554,True
1.300401,-100,-100,0.06307961,7.442767,3.685327,True
1.8042787,-100,-100,0.107326075,6.870968,3.685327,True
2.3752694,-100,-100,0.12706852,8.601955,2.125448,True
1.180735,-100,-100,0.06718238,8.009058,5.454612,True
1.180735,-100,-100,0.06718238,8.009405,7.0542984,True
1.180735,-100,-100,0.06718238,8.009417,7.072192,True
1.180735,-100,-100,0.06718238,8.009417,7.0721917,True
1.180735,-100,-100,0.06718238,8.009415,7.072198,True
1.180735,-100,-100,0.06718238,8.009405,7.0721807,True
0.7672991,-100,-100,0.053795926,6.707235,7.0721807,True
0.83434194,-100,-100,0.046722244,6.61595,5.182814,True
0.83434194,-100,-100,0.046722244,6.6159554,5.0194983,True
