pt_ms,pt_tf,ms_tf
5.8822834e-06,1.4266082e-06,5.6934127e-06
2.3199607e-05,8.809828e-06,2.0614834e-05
1.9485686e-05,9.560485e-06,1.8850924e-05
2.1139984e-05,7.2335524e-06,1.934779e-05
1.9927797e-05,1.220562e-05,2.6004276e-05
4.6752953e-05,1.4097903e-05,4.0916922e-05
4.3674383e-05,1.4625355e-05,4.1283733e-05
3.4794255e-05,1.3070593e-05,3.2169028e-05
1.1399788e-05,4.768368e-06,9.448377e-06
1.2350313e-05,6.2045897e-06,1.098393e-05
7.101176e-06,4.09161e-06,9.010955e-06
2.2311935e-05,8.479467e-06,1.777422e-05
2.1284197e-05,8.995172e-06,1.8649785e-05
1.7534838e-05,7.785698e-06,1.3407599e-05
0.00062872726,0.00033008895,0.00038959313
0.0008423225,0.00033695318,0.000547568
0.00015938275,9.118695e-05,0.00017893067
0.00086707086,0.00052030885,0.0005397521
0.0006776111,0.0005691658,0.00063361146
0.0150663,0.032997042,0.033205666
