pt_ms,pt_tf,ms_tf
8.609353,-100,-100
51.07541,-100,-100
20.638378,-100,-100
778.30457,-100,-100
17285.037,-100,-100
4.9373426,-100,-100
4.917915,-100,-100
12.071188,-100,-100
15.465978,-100,-100
15.38815,-100,-100
8.023878,-100,-100
8.763288,-100,-100
7.424338,-100,-100
13.223581,-100,-100
17.721714,-100,-100
21.915987,-100,-100
17.3021,-100,-100
10.229839,-100,-100
8.681202,-100,-100
16.105791,-100,-100
0.5385112,-100,-100
0.41068748,-100,-100
0.39697194,-100,-100
0.49059013,-100,-100
0.34653324,-100,-100
