mut_types,mut_layer_name,mut_result
LD,resnet.layer4.1.conv2,True
LS,"resnet.layer2.1.relu,resnet.layer2.2.bn3",True
RA,resnet.layer3.15.relu,True
LC,resnet.layer3.14.bn2,True
RA,aspp.aspp3.aspp_conv.2,True
NAI,resnet.layer4.2.conv1,True
NAI,resnet.layer4.2.conv2,True
WS,resnet.layer1.2.conv1,True
NS,resnet.layer3.10.conv3,True
LD,resnet.layer3.4.bn1,True
WS,resnet.layer3.18.conv1,True
GF,resnet.layer3.8.conv3,True
LC,resnet.layer3.8.bn3,True
LC,resnet.layer3.5.bn1,True
LD,resnet.layer2.1.bn2,True
WS,resnet.layer3.1.conv3,True
NS,resnet.layer3.14.conv3,True
NS,resnet.layer3.1.conv3,True
LA,resnet.layer3.0.bn1,True
NS,resnet.layer3.17.conv2,True
GF,resnet.layer3.21.bn1,True
LD,resnet.layer3.16.conv2,True
RA,resnet.layer3.15.relu,True
GF,resnet.layer3.19.conv3,True
NEB,resnet.layer3.18.conv2,True
NS,resnet.layer3.19.conv2,True
LS,"resnet.layer3.20.bn1,resnet.layer3.3.conv2",True
GF,resnet.layer4.1.bn1,True
NEB,resnet.layer3.18.conv2,True
AFRM,aspp.aspp_pooling.conv.2,True
RA,resnet.layer3.12.relu,True
GF,resnet.layer4.0.bn2,True
AFRM,aspp.aspp3.aspp_conv.2,True
AFRM,resnet.layer3.10.relu,True
RA,resnet.layer3.19.relu,True
AFRM,resnet.layer2.3.relu,True
NS,resnet.layer3.18.conv2,True
NEB,resnet.layer3.18.conv2,True
LD,resnet.layer3.5.bn1,True
LC,resnet.layer3.20.bn2,True
NAI,resnet.layer2.1.conv2,True
RA,resnet.layer3.22.relu,True
GF,aspp.aspp3,True
NAI,resnet.layer3.17.conv3,True
LD,resnet.layer3.0.bn1,True
GF,resnet.layer3.20.relu,True
LD,resnet.layer3.11.bn3,True
NAI,resnet.layer2.1.conv1,True
NEB,resnet.layer3.18.conv2,True
NEB,resnet.layer3.18.conv2,True
LD,aspp.aspp3.aspp_conv.1,True
NAI,resnet.layer3.20.conv3,True
LA,no,LA Create illegal layer
GF,resnet.layer3.22.bn2,True
LS,"resnet.layer3.5.conv2,resnet.layer3.2.bn2",True
NEB,resnet.layer3.18.conv2,True
LC,resnet.layer3.19.bn3,True
LS,"resnet.layer3.19.conv2,resnet.layer3.14.bn2",True
LD,resnet.layer3.9.bn3,True
NS,resnet.layer3.20.conv2,True
NS,resnet.layer3.18.conv3,True
LS,"resnet.layer3.21.conv2,resnet.layer3.18.bn1",True
RA,resnet.layer3.8.relu,True
LD,resnet.layer2.0.bn1,True
LC,resnet.layer1.0.bn2,True
GF,aspp.aspp4.aspp_conv.2,True
AFRM,resnet.layer3.13.relu,True
NEB,resnet.layer3.14.bn2,True
LC,resnet.layer4.1.relu,True
NEB,resnet.layer3.14.bn2,True
LC,resnet.layer3.13.bn1,True
LA,no,False
LS,"resnet.layer2.3.relu,resnet.layer2.1.relu",True
AFRM,resnet.layer3.9.relu,True
RA,resnet.layer3.14.relu,True
NAI,resnet.layer3.3.conv3,True
LD,aspp.aspp_pooling.conv.2,True
LC,resnet.layer3.8.bn1,True
RA,resnet.layer3.2.relu,True
RA,resnet.layer4.2.relu,True
AFRM,resnet.layer3.2.relu,True
LA,resnet.layer3.16.bn1,True
GF,resnet.layer4.0,True
LC,resnet.layer3.3.relu,True
NEB,resnet.layer3.14.bn2,True
RA,resnet.relu,True
LD,resnet.layer3.14.conv2,True
NS,resnet.layer4.0.conv1,True
NS,resnet.layer3.17.conv3,True
NEB,resnet.layer3.14.bn2,True
LC,resnet.layer3.21.bn1,True
NS,resnet.layer3.21.conv1,True
LD,resnet.layer3.18.conv2,True
LS,"resnet.layer3.6.relu,resnet.layer3.13.relu",True
NAI,resnet.layer2.0.conv3,True
NAI,resnet.layer2.1.conv1,True
NS,resnet.layer3.18.conv1,True
AFRM,resnet.layer3.21.relu,True
RA,resnet.layer3.7.relu,True
NEB,resnet.layer3.14.bn2,True
