mut_types,mut_layer_name,mut_result
LD,layer3.3.bn1,True
LS,"layer3.2.conv2,layer3.2.bn2",True
RA,layer2.0.relu,True
LC,layer2.1.bn2,True
RA,layer2.1.relu,True
NAI,layer1.1.conv1,True
NAI,layer2.1.conv3,True
WS,layer3.5.conv3,True
NS,layer2.1.conv2,True
LD,layer2.1.bn1,True
WS,layer3.3.conv3,True
GF,layer1.0,True
LC,layer1.2.relu,True
LC,layer3.4.bn1,True
LD,layer3.3.bn2,True
WS,layer3.0.conv2,True
NS,conv1,True
NS,layer2.2.conv2,True
LA,layer2.3.bn3,True
NS,layer1.2.conv3,True
GF,layer3.5.bn2,True
LD,layer2.0.downsample.1,True
RA,layer3.0.relu,True
GF,layer3.3.relu,True
NEB,layer2.3.conv1,True
NS,layer3.4.conv3,True
LS,"relu,bn1",True
GF,layer2.2.conv1,True
NEB,layer2.3.conv1,True
AFRM,layer2.2.relu,True
RA,layer3.2.relu,True
GF,maxpool,True
AFRM,layer2.0.relu,True
AFRM,layer2.1.relu,True
RA,layer3.2.relu,True
AFRM,layer3.3.relu,True
NS,layer3.0.conv3,True
NEB,layer2.3.conv1,True
LD,layer2.0.bn2,True
LC,layer3.5.conv2,True
NAI,layer2.3.bn3,True
RA,layer1.1.relu,True
GF,layer1.2.bn3,True
NAI,layer3.1.conv2,True
LD,layer1.2.bn1,True
GF,layer3.1.bn2,True
LD,layer3.4.bn1,True
NAI,layer2.0.conv1,True
NEB,layer2.3.conv1,True
NEB,layer2.3.conv1,True
LD,layer3.1.bn2,True
NAI,layer2.0.conv2,True
LA,no,LA Create illegal layer
GF,layer3.0.conv2,True
LS,no,set layers failure
NEB,layer2.3.conv1,True
LC,layer2.3.conv2,True
LS,"layer3.0.conv1,layer2.3.bn3",True
LD,layer3.3.relu,True
NS,layer2.3.conv1,True
NS,layer3.0.conv2,True
LS,no,False
RA,layer3.5.relu,True
LD,layer1.2.bn3,True
LC,layer2.3.bn1,True
GF,layer2.0.downsample.0,True
AFRM,layer1.0.relu,True
NEB,layer2.3.bn3,True
LC,layer2.1.bn3,True
NEB,layer2.3.bn3,True
LC,layer1.1.bn3,True
LA,no,LA Create illegal layer
LS,"layer3.5.bn1,layer3.2.bn2",True
AFRM,bn1,True
RA,layer3.4.relu,True
NAI,layer1.1.conv2,True
LD,layer2.2.bn1,True
LC,layer2.2.conv2,True
RA,layer1.1.relu,True
RA,layer3.5.relu,True
AFRM,layer3.1.relu,True
LA,no,LA Create illegal layer
GF,layer2.0.bn3,True
LC,layer3.0.bn3,True
NEB,layer2.3.bn3,True
RA,layer3.4.relu,True
LD,layer2.0.relu,True
NS,layer3.3.conv2,True
NS,layer3.5.conv3,True
NEB,layer2.3.bn3,True
LC,layer2.3.relu,True
NS,layer3.5.conv2,True
LD,layer1.0.bn2,True
LS,"layer2.1.bn3,layer2.2.bn3",True
NAI,layer2.3.bn3,True
NAI,layer3.5.conv3,True
NS,layer3.0.conv3,True
AFRM,layer3.4.relu,True
RA,layer3.2.relu,True
NEB,layer2.3.bn3,True
