mstorch_pt_ms,mstorch_pt_tf,mstorch_ms_tf,mstorch_lasttwo_dist,ms_distance,torch_distance,if_success,mut_types
0.0013241543,0.00039897102,0.00092527,0.0007929374,0.0,3.3113315,"False,False,True,True","LD,LS,RA,LC"
0.0009818391,0.00020680012,0.0007750492,0.00046905305,0.55607355,0.5561914,"True,True,True,True","RA,NAI,NAI,WS"
0.00044615776,9.280485e-05,0.00035335278,0.00026990578,1.9662689,1.8969574,"True,True,True,True","NS,LD,WS,GF"
0.00044615776,9.280485e-05,0.00035335278,0.00026990578,1.9257879,1.9262094,"True,True,True,True","LC,LC,LD,WS"
0.0019754888,0.0010430356,0.0010835289,0.0016726594,2.0078902,2.0057511,"True,True,True,True","NS,NS,LA,NS"
0.0017592292,0.00041988437,0.0018068122,0.0015776294,1.5087454,1.5089815,"True,False,True,True","GF,LD,RA,GF"
0.0015434657,0.00063120783,0.0014781312,0.001561952,1.6970867,1.5103025,"True,True,False,True","NEB,NS,LS,GF"
0.001318406,2.6315614e-05,0.0013245267,0.0044663493,1.7939568,1.7468951,"True,True,True,True","NEB,AFRM,RA,GF"
0.005090044,6.322956e-05,0.00514709,0.0026492733,1.4817202,2.2632978,"True,True,True,True","AFRM,AFRM,RA,AFRM"
0.0043153428,0.00014386774,0.004383986,0.0023090977,2.0634744,2.0647912,"True,True,True,True","NS,NEB,LD,LC"
0.0034425517,0.000106049425,0.0034760486,0.001718138,2.1443236,2.1106744,"True,True,True,True","NAI,RA,GF,NAI"
0.002256892,3.0763284e-05,0.0022545732,0.0013389335,2.0752764,2.0888662,"True,True,True,True","LD,GF,LD,NAI"
0.0009398068,1.7164279e-05,0.00093363144,0.001001423,2.1426659,2.1426597,"True,True,True,True","NEB,NEB,LD,NAI"
0.0009970005,1.29080245e-05,0.0009979035,0.0009856942,2.222349,2.224283,"False,True,False,True","LA,GF,LS,NEB"
0.0038772076,0.00016257807,0.0037825084,0.003971445,2.221742,2.2427187,"True,False,True,True","LC,LS,LD,NS"
0.0042512123,5.48474e-05,0.0042739394,0.0040698852,2.4938354,2.511896,"True,False,True,True","NS,LS,RA,LD"
0.017528528,6.866199e-05,0.017531186,0.0081830155,2.5120184,2.5225863,"True,True,True,True","LC,GF,AFRM,NEB"
0.018792054,0.00011188248,0.01889999,0.008603518,2.6384745,2.6629736,"True,True,True,False","LC,NEB,LC,LA"
0.006216258,8.444277e-05,0.0062177256,0.006264998,2.6675222,2.6864629,"False,True,True,True","LS,AFRM,RA,NAI"
0.0040928763,3.665315e-05,0.004086482,0.0050015883,3.1810918,1.8210182,"True,True,True,True","LD,LC,RA,RA"
0.6151602,4.6715522e-05,0.61517054,0.6991984,2.9933324,2.5122724,"True,True,True,True","AFRM,LA,GF,LC"
0.2945655,1.6175221e-05,0.29456568,0.28514904,2.9922397,2.4101214,"True,True,True,True","NEB,RA,LD,NS"
0.29702657,5.9018143e-06,0.2970296,0.2897459,2.9028587,2.6340244,"True,True,True,True","NS,NEB,LC,NS"
0.27833924,0.0001623582,0.2783228,0.4079496,2.771964,2.6134238,"True,False,True,True","LD,LS,NAI,NAI"
2.8733044,0.0032119688,2.8719358,5.248788,2.2645605,2.4055133,"True,True,True,True","NS,AFRM,RA,NEB"
