mut_types,mut_layer_name,mut_result
AFRM,base.vgg_base.layers.6,True
AFRM,base.vgg_base.layers.1,True
AFRM,base.vgg_base.layers.8,True
AFRM,base.relu,True
AFRM,base.vgg_base.layers.3,True
AFRM,base.vgg_base.layers.17,True
AFRM,base.vgg_base.layers.20,True
AFRM,base.vgg_base.layers.11,True
AFRM,base.vgg_base.layers.15,True
AFRM,base.vgg_base.layers.13,True
AFRM,base.vgg_base.layers.22,True
AFRM,no,AFRM No suitable ops for
AFRM,no,AFRM No suitable ops for
AFRM,no,AFRM No suitable ops for
AFRM,no,AFRM No suitable ops for
AFRM,no,AFRM No suitable ops for
AFRM,no,AFRM No suitable ops for
AFRM,no,AFRM No suitable ops for
AFRM,no,AFRM No suitable ops for
AFRM,no,AFRM No suitable ops for
