mstorch_pt_ms,mstorch_pt_tf,mstorch_ms_tf,mstorch_lasttwo_dist,ms_distance,torch_distance,if_success
5.3860545,-100,-100,0.1805206,3.569697,3793.4426,True
13.897592,-100,-100,0.5980734,9.75453,6.177076,True
10.789831,-100,-100,0.34966725,20.095984,13.254099,True
8.213558,-100,-100,0.2797899,13.628329,22.114725,True
9.085638,-100,-100,0.354177,88.19026,16.232328,True
46.36785,-100,-100,2.641014,742.53546,89.28232,True
275.47052,-100,-100,13.234282,2853.896,748.34766,True
232.28894,-100,-100,10.135332,1628.1324,2976.2954,True
529.8567,-100,-100,15.969179,3028.0688,1731.624,True
577.224,-100,-100,18.261795,3754.9836,3043.389,True
