pt_ms,pt_tf,ms_tf
3.0391973e-07,8.423462e-08,2.9305917e-07
2.2747324e-07,1.0054742e-07,2.2877809e-07
2.2950431e-07,1.0125079e-07,2.3240004e-07
2.2802882e-07,1.2921844e-07,2.4045528e-07
2.1615507e-07,1.00039955e-07,2.2346576e-07
3.2720624e-07,8.716601e-08,2.968883e-07
2.895477e-07,7.406471e-08,2.8402465e-07
1.197684e-05,2.2782754e-06,1.0203104e-05
1.2379608e-05,2.2729748e-06,1.0664783e-05
4.7453473e-06,1.1290186e-06,4.7782223e-06
4.6896535e-06,1.1254292e-06,4.446331e-06
4.6439027e-06,9.387832e-07,4.4252897e-06
4.6530467e-06,9.584423e-07,4.5141364e-06
4.489851e-06,9.257646e-07,4.26244e-06
4.2411834e-06,9.1355287e-07,4.131232e-06
4.1214794e-06,9.466625e-07,4.130796e-06
2.5613974e-05,1.7960838e-06,2.541022e-05
2.7025675e-05,2.004243e-06,2.8093387e-05
2.7942295e-05,2.3914006e-06,2.9791523e-05
4.6665832e-07,1.4304143e-07,4.7055153e-07
