pt_ms,pt_tf,ms_tf
3.0846726e-07,1.6691547e-07,3.1040796e-07
2.6675198e-07,2.1038498e-07,1.5751147e-07
2.6642172e-07,2.1134383e-07,1.6017559e-07
2.6632242e-07,2.1321637e-07,1.6332754e-07
2.6879005e-07,2.1499906e-07,1.6288423e-07
6.373672e-06,9.4169345e-06,4.717031e-06
6.655948e-06,8.758059e-06,6.3301445e-06
1.1372225e-05,8.122785e-06,1.770754e-05
1.1147735e-05,7.881449e-06,1.697523e-05
2.5184729e-05,5.139944e-06,2.8951887e-05
2.5479614e-05,5.0745525e-06,2.9050583e-05
2.5379588e-05,5.46364e-06,3.0130532e-05
2.5339192e-05,5.036936e-06,2.9483204e-05
2.5262165e-05,5.249777e-06,2.957619e-05
2.3697296e-05,4.8271722e-06,2.7808092e-05
2.3235873e-05,4.4026924e-06,2.662869e-05
1.6814344e-06,1.5194241e-06,1.1892392e-06
2.0564767e-06,1.2057048e-06,1.2381382e-06
2.1142305e-06,1.1655209e-06,1.2451551e-06
2.8283864e-06,2.880129e-06,2.7636183e-06
