mut_types,mut_layer_name,mut_result
LA,no,LA Create illegal layer
LA,stage_5.conv5_L2,True
LA,stage_4.conv2_L2,True
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,stage_4.conv3_L2,True
LA,stage_5.conv6_L1,True
LA,stage_1.conv1_CPM_L1,True
LA,stage_4.conv4_L1,True
LA,stage_6.conv4_L1,True
LA,stage_4.relu,True
LA,stage_4.conv3_L1,True
LA,stage_3.conv4_L1,True
LA,stage_5.conv3_L1,True
LA,stage_1.conv3_CPM_L2,True
LA,no,LA Create illegal layer
LA,stage_1.conv2_CPM_L2,True
LA,stage_2.relu,True
LA,stage_4.conv6_L1,True
LA,stage_3.conv3_L1,True
LA,stage_2.conv5_L2,True
LA,stage_1.conv2_CPM_L1,True
LA,stage_6.relu,True
LA,no,LA Create illegal layer
LA,stage_2.conv3_L1,True
LA,no,LA Create illegal layer
LA,stage_6.conv6_L1,True
LA,stage_5.conv3_L2,True
LA,stage_4.conv4_L1,True
LA,stage_5.conv4_L2,True
LA,stage_6.conv2_L2,True
LA,stage_5.conv6_L2,True
LA,stage_2.relu,True
LA,stage_6.conv6_L2,True
LA,no,LA Create illegal layer
LA,stage_5.conv5_L2,True
LA,stage_2.conv4_L2,True
LA,stage_4.conv6_L1,True
LA,stage_5.conv3_L1,True
LA,stage_2.conv3_L1,True
LA,stage_2.conv5_L2,True
LA,no,False
LA,stage_5.conv6_L2,True
LA,no,LA Create illegal layer
LA,no,False
LA,stage_4.relu,True
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,stage_3.conv5_L2,True
LA,no,LA Create illegal layer
LA,stage_6.conv5_L2,True
LA,stage_6.conv6_L1,True
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,stage_1.conv1_CPM_L2,True
LA,stage_4.relu,True
LA,stage_4.conv3_L2,True
LA,stage_4.conv4_L2,True
LA,stage_1.conv1_CPM_L1,True
LA,no,LA Create illegal layer
LA,stage_5.conv4_L2,True
LA,stage_6.relu,True
LA,stage_3.conv2_L2,True
LA,stage_3.conv5_L2,True
LA,stage_2.conv3_L1,True
LA,no,False
LA,stage_5.relu,True
LA,stage_4.conv5_L2,True
LA,stage_5.relu,True
LA,stage_6.conv3_L2,True
LA,stage_2.conv3_L1,True
LA,stage_4.conv3_L1,True
LA,no,LA Create illegal layer
LA,stage_6.conv4_L1,True
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,stage_6.conv6_L2,True
LA,stage_2.relu,True
LA,stage_3.conv6_L2,True
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,stage_1.conv3_CPM_L1,True
LA,stage_1.conv2_CPM_L1,True
LA,stage_1.conv2_CPM_L2,True
LA,stage_4.conv4_L1,True
LA,stage_1.conv2_CPM_L2,True
LA,stage_6.relu,True
LA,stage_2.conv2_L2,True
LA,stage_6.conv6_L2,True
LA,no,LA Create illegal layer
LA,stage_4.conv5_L2,True
LA,stage_4.conv6_L2,True
LA,stage_6.conv6_L1,True
LA,stage_6.conv2_L2,True
