pt_ms,pt_tf,ms_tf
0.0002656117,0.000103147824,0.00021305004
0.003234489,0.0028467237,0.0022943162
0.017690772,0.022704097,0.030852314
0.6599558,0.6043728,1.0994432
85.865944,103.81267,30.620882
2393.5393,2036.9438,3259.0066
81329.75,146226.89,149208.88
630065.06,1094894.2,1322886.6
136343200.0,193214450.0,261579500.0
7734198300.0,2848860200.0,7146477000.0
26892167000.0,12453384000.0,24367190000.0
2524882100000.0,1975904000000.0,3245194000000.0
24822118000000.0,18818592000000.0,30241599000000.0
24822118000000.0,18818592000000.0,30241599000000.0
24822118000000.0,18724420000000.0,30143723000000.0
24822118000000.0,18818592000000.0,30241599000000.0
24822118000000.0,18724420000000.0,30143723000000.0
24822118000000.0,18818592000000.0,30241599000000.0
24822118000000.0,18724420000000.0,30143723000000.0
24822118000000.0,18724420000000.0,30143723000000.0
