mstorch_pt_ms,mstorch_pt_tf,mstorch_ms_tf,mstorch_lasttwo_dist,ms_distance,torch_distance,if_success
10394.417,-100,-100,2240.4956,43.445126,9.7095326e+27,True
1766565.1,-100,-100,549041.3,182044.45,35892.21,True
4531177000.0,-100,-100,996976200.0,53622640.0,7444335.0,True
10011020000.0,-100,-100,2792841200.0,602179200.0,3520469000.0,True
14584705000000.0,-100,-100,5480273000000.0,41726312000.0,10229390000.0,True
484863600000000.0,-100,-100,129653025000000.0,356455840000000.0,41742040000000.0,True
1753852800000000.0,-100,-100,452599460000000.0,97692130000000.0,380815560000000.0,True
1.12905015e+18,-100,-100,2.7784264e+17,1.3963242e+18,1.9152336e+17,True
2.0995216e+19,-100,-100,5.5907764e+18,5.396433e+19,7.1362773e+19,True
1.3511052e+21,-100,-100,3.457346e+20,6.708495e+19,1.4046588e+20,True
5.6747323e+22,-100,-100,1.8271389e+22,9.3491e+19,2.5487666e+21,True
2.2168534e+25,-100,-100,5.9708006e+24,1.4792095e+26,9.278891e+24,True
1.5654664e+23,-100,-100,3.782612e+22,4.614416e+25,8.359944e+25,True
2.6259855e+23,-100,-100,6.395631e+22,2.681252e+22,7.542984e+22,True
7.7078236e+23,-100,-100,1.8523309e+23,5.595264e+23,7.8975976e+24,True
4.369891e+24,-100,-100,1.3066498e+24,1.9922097e+24,2.9067578e+24,True
1.526819e+24,-100,-100,3.336768e+23,1.9804272e+24,1.9909657e+23,True
4.094693e+24,-100,-100,8.853994e+23,9.132778e+25,4.9943374e+25,True
7.461772e+25,-100,-100,1.620115e+25,8.181067e+25,1.2051656e+26,True
3.2877647e+26,-100,-100,7.1065906e+25,9.170933e+26,8.190803e+26,True
