mstorch_pt_ms,mstorch_pt_tf,mstorch_ms_tf,mstorch_lasttwo_dist,ms_distance,torch_distance,if_success
0.28770915,-100,-100,0.10654108,0.4104926,246535.9,True
0.460005,-100,-100,0.13366877,1.5207,2.507478,True
0.31878003,-100,-100,0.092305414,1.7301342,1.9869565,True
0.37393486,-100,-100,0.08686865,2.3583112,2.068935,True
0.41096604,-100,-100,0.113178566,2.4109778,2.9249184,True
1.22068,-100,-100,0.21082833,5.153231,6.015086,True
2.008358,-100,-100,0.43566328,12.452042,14.157301,True
2.0263643,-100,-100,0.45875946,12.971228,14.532593,True
4.791811,-100,-100,1.1436452,16.357235,16.502163,True
29.856024,-100,-100,6.5088525,62.10755,45.576244,True
51.556877,-100,-100,12.759804,103.996,167.11801,True
143.3303,-100,-100,35.155304,274.10056,319.66278,True
275.64984,-100,-100,64.20049,666.15466,851.5427,True
1853.2985,-100,-100,442.40897,2598.2554,1679.1854,True
15663.428,-100,-100,3141.3687,25335.578,8635.396,True
23593.814,-100,-100,4729.8916,42449.977,64746.086,True
36763.51,-100,-100,7397.3286,94529.06,84568.03,True
66901.19,-100,-100,13453.294,103284.94,126829.195,True
76574.27,-100,-100,15396.106,115127.33,218274.16,True
49093.684,-100,-100,9996.521,199023.53,249114.92,True
