pt_ms,pt_tf,ms_tf
3.3526294e-07,1.6222661e-07,3.23041e-07
9.345689e-06,6.051932e-06,5.002511e-06
5.4082716e-06,3.3062404e-06,3.8164035e-06
1.6067686e-05,7.692703e-06,1.3971568e-05
1.572005e-05,7.4547415e-06,1.3343235e-05
1.589093e-05,7.209068e-06,1.3679134e-05
1.6619719e-05,7.342083e-06,1.4279991e-05
1.1833484e-05,7.2018156e-06,1.1873468e-05
1.8237562e-05,8.86387e-06,1.4974515e-05
1.5301084e-05,8.413877e-06,1.1923304e-05
1.5219082e-05,9.76474e-06,1.5534275e-05
1.4125267e-05,7.9070915e-06,1.1677546e-05
1.33812355e-05,8.258492e-06,1.086081e-05
2.0684582e-05,1.1916676e-05,1.786646e-05
1.8161412e-05,1.3289901e-05,1.6729675e-05
2.9795236e-05,1.5698482e-05,2.153033e-05
2.0275082e-05,1.0901308e-05,1.7448474e-05
1.8186953e-05,1.021551e-05,1.633289e-05
4.182842e-05,2.845931e-05,2.9268698e-05
0.002418862,0.0011199635,0.0016807069
