pt_ms,pt_tf,ms_tf
4.3988703e-06,1.5023094e-06,4.0774e-06
1.9742101e-06,3.619797e-06,4.598523e-06
1.5631884e-05,2.2628574e-06,1.7488366e-05
1.9744286e-06,1.8645501e-06,2.3838898e-06
4.5171278e-06,2.11353e-06,6.123748e-06
4.0122454e-06,1.1733863e-06,4.626333e-06
3.4387099e-06,1.3712829e-06,4.3513755e-06
3.6751287e-06,9.992333e-07,3.9218685e-06
4.0329232e-06,9.0820436e-07,4.1193066e-06
8.377599e-06,1.0404836e-05,1.4857921e-05
3.0947747e-05,7.846909e-06,3.842153e-05
8.21041e-06,1.6829626e-06,8.687252e-06
3.892756e-06,1.2808915e-06,4.134978e-06
2.9751168e-06,1.2663419e-06,2.9930184e-06
4.8244337e-06,1.1989598e-06,4.714872e-06
7.853359e-06,1.3202234e-06,7.193775e-06
7.773509e-06,1.3283014e-06,7.0872484e-06
5.5106993e-06,1.8032844e-06,5.9927165e-06
2.2458005e-06,1.313473e-06,2.7532305e-06
3.7784487e-06,2.401588e-06,3.2142243e-06
