mut_types,mut_layer_name,mut_result
GF,network.9,True
GF,network.9.2,True
GF,network.26.0,True
GF,network.11.0,True
GF,network.24.1,True
GF,network.2.0,True
GF,network.11.1,True
GF,network.16.1,True
GF,network.22.2,True
GF,network.2,True
GF,network.6,True
GF,network.18.1,True
GF,network.20.0,True
GF,network.26.1,True
GF,network.17.2,True
GF,network.10,True
GF,network.3.1,True
GF,network.10.0,True
GF,network.23,True
GF,network.24.1,True
GF,network.18,True
GF,network.0.2,True
GF,network.20.1,True
GF,network.8.0,True
GF,network.0.2,True
GF,network.13,True
GF,network.4.1,True
GF,network.0,True
GF,network.21,True
GF,network.9,True
GF,network.20.0,True
GF,network.21.1,True
GF,network.4.2,True
GF,network.8,True
GF,network.18,True
GF,network.1,True
GF,network.3.1,True
GF,network.8,True
GF,network.2,True
GF,network.17.0,True
GF,network.15.2,True
GF,network.25.0,True
GF,network.16.2,True
GF,network.4.2,True
GF,network.18.1,True
GF,network.15,True
GF,network.1.1,True
GF,network,True
GF,network.10.0,True
GF,network.11.2,True
GF,network.14,True
GF,network.6.2,True
GF,network.6,True
GF,network.17,True
GF,network.19,True
GF,network.21,True
GF,network.19.1,True
GF,network.8.1,True
GF,network.12,True
GF,network.19,True
GF,network.24.1,True
GF,network.4.0,True
GF,network.10.2,True
GF,network.16.2,True
GF,network.11.0,True
GF,network.4.2,True
GF,network.16.1,True
GF,network.15.1,True
GF,network.13.0,True
GF,network.19.0,True
GF,network.26.1,True
GF,network.21.2,True
GF,network.5.0,True
GF,network.7.0,True
GF,network.4.1,True
GF,network.8,True
GF,network.21.1,True
GF,network.17,True
GF,network.21.1,True
GF,network.11.1,True
GF,network.16.1,True
GF,network.0.1,True
GF,network.20.0,True
GF,network.10.0,True
GF,network.26.0,True
GF,network.4.2,True
GF,network.25.0,True
GF,network.21.2,True
GF,network.4.1,True
GF,network.22.1,True
GF,network.12.0,True
GF,network.10.0,True
GF,network.9,True
GF,network.14.1,True
GF,network.5.0,True
GF,network.20.2,True
GF,network.22.0,True
GF,network.22.0,True
GF,network.0,True
GF,network.1.2,True
