pt_ms,pt_tf,ms_tf
3.0582152e-07,1.08498526e-07,3.558755e-07
2.9649408e-07,7.344223e-08,2.8850235e-07
2.9934634e-07,7.142822e-08,2.9096668e-07
2.9899985e-07,7.151758e-08,2.860279e-07
2.9710597e-07,1.2827097e-07,2.2722894e-07
1.952242e-07,1.4508772e-07,2.0828199e-07
1.9508757e-07,8.898669e-08,1.8352677e-07
2.3905662e-07,9.455546e-08,2.262495e-07
2.525794e-07,9.228684e-08,2.435762e-07
2.593665e-07,9.065162e-08,2.608264e-07
2.6761703e-07,9.3415274e-08,2.683318e-07
2.6668428e-07,9.892546e-08,2.6459006e-07
2.6397137e-07,9.3694844e-08,2.6715804e-07
2.6446216e-07,9.3805e-08,2.6646785e-07
2.6646092e-07,1.3553212e-07,2.736856e-07
2.7757517e-07,1.3433672e-07,2.830322e-07
3.4741151e-06,1.7626088e-06,3.2070589e-06
3.978106e-06,1.4006747e-06,4.1604276e-06
3.6386286e-06,1.8194278e-06,4.0862956e-06
2.0442596e-05,1.960269e-05,3.6956153e-05
