pt_ms,pt_tf,ms_tf
1.1794126,0.0026021511,1.1783799
1.1416663,0.0023507804,1.1403449
1.156603,0.002402672,1.1557461
1.155687,0.0025168657,1.1546494
1.1810948,0.0017645776,1.1800517
1.1838841,0.0023587644,1.1823767
1.1788642,0.002403921,1.1778239
1.0803279,0.0025195242,1.0792174
1.0986861,0.0014347851,1.0987782
1.1599201,0.0029534698,1.159067
1.1512556,0.0035607486,1.1502208
1.1376163,0.0027165294,1.13689
1.1292965,0.0015924334,1.128815
1.1265736,0.0020886182,1.1261432
1.1286893,0.004026896,1.1283058
1.1312368,0.0039307354,1.1291308
1.1669749,0.0022895276,1.1669685
1.1738716,0.0021763504,1.1737137
1.1628408,0.002471757,1.16238
1.0867287,0.0024095983,1.0870348
