mut_types,mut_layer_name,mut_result
GF,down4.maxpool_conv.1.double_conv,True
GF,down4.maxpool_conv.1.double_conv.2,True
GF,down3,True
GF,up1.conv.double_conv.0,True
GF,up4.conv.double_conv.2,True
GF,down1.maxpool_conv.1.double_conv,True
GF,up1.conv.double_conv.1,True
GF,up3.conv.double_conv.1,True
GF,up2.conv,True
GF,down1.maxpool_conv.1,True
GF,down3.maxpool_conv,True
GF,up4.conv.double_conv,True
GF,outc,True
GF,down1.maxpool_conv.1.double_conv.1,True
GF,up4,True
GF,down4.maxpool_conv.1.double_conv.3,True
GF,down2,True
GF,up1,True
GF,down4.maxpool_conv.1.double_conv.2,True
GF,down2,True
GF,up4.center_crop,True
GF,inc.double_conv.2,True
GF,outc.conv,True
GF,down4.maxpool_conv,True
GF,inc.double_conv.2,True
GF,up2.center_crop,True
GF,down2.maxpool_conv.1.double_conv,True
GF,inc.double_conv,True
GF,down4.maxpool_conv,True
GF,down4.maxpool_conv.1.double_conv,True
GF,outc,True
GF,up1.center_crop,True
GF,down2.maxpool_conv.1.double_conv.0,True
GF,down4,True
GF,up4.center_crop,True
GF,inc.double_conv.3,True
GF,down2,True
GF,down4,True
GF,down1.maxpool_conv.1,True
GF,up3.up,True
GF,up3.conv,True
GF,up1.relu,True
GF,up3.conv.double_conv.2,True
GF,down2.maxpool_conv.1.double_conv.0,True
GF,up4.conv.double_conv,True
GF,up2.relu,True
GF,down1.maxpool_conv,True
GF,inc,True
GF,up1,True
GF,up1.conv.double_conv.2,True
GF,up2.conv.double_conv.1,True
GF,down3.maxpool_conv.1.double_conv,True
GF,down3.maxpool_conv,True
GF,up3.conv.double_conv.3,True
GF,up4.conv.double_conv.1,True
GF,down2,True
GF,up4.conv.double_conv.3,True
GF,down4.maxpool_conv.0,True
GF,up1.conv.double_conv.3,True
GF,up4.conv.double_conv.1,True
GF,down2.maxpool_conv.1,True
GF,down2.maxpool_conv.1,True
GF,up1.conv,True
GF,up3.conv.double_conv.2,True
GF,up1.conv.double_conv.0,True
GF,down2.maxpool_conv.1.double_conv.0,True
GF,up3.conv.double_conv.1,True
GF,up3.center_crop,True
GF,up2.conv,True
GF,up4.conv.double_conv.2,True
GF,up1.conv.double_conv,True
GF,down2.maxpool_conv.1.double_conv,True
GF,down2.maxpool_conv.1.double_conv.2,True
GF,down3.maxpool_conv.1.double_conv.1,True
GF,down2.maxpool_conv.1.double_conv,True
GF,down4,True
GF,down4.maxpool_conv.1.double_conv,True
GF,up3.conv.double_conv.3,True
GF,up2.relu,True
GF,up1.conv.double_conv.1,True
GF,up3.conv.double_conv.1,True
GF,inc.double_conv.1,True
GF,outc,True
GF,up1,True
GF,down3.maxpool_conv.1.double_conv.3,True
GF,down2.maxpool_conv.1.double_conv.0,True
GF,up4.conv.double_conv.1,True
GF,down3.maxpool_conv.1.double_conv.3,True
GF,down2.maxpool_conv.1.double_conv,True
GF,down3.maxpool_conv.1.double_conv.0,True
GF,up1.up,True
GF,up1,True
GF,down4.maxpool_conv.1.double_conv,True
GF,up2.conv.double_conv.3,True
GF,down2.maxpool_conv.1.double_conv.2,True
GF,down4.maxpool_conv.1.double_conv.0,True
GF,down4.maxpool_conv.0,True
GF,up1,True
GF,inc.double_conv,True
GF,down1.maxpool_conv.0,True
