mut_types,mut_layer_name,mut_result
LA,no,False
LA,resnet.layer3.22.conv2,True
LA,resnet.layer1.1.relu,True
LA,resnet.layer3.9.relu,True
LA,no,LA Create illegal layer
LA,resnet.layer3.0.relu,True
LA,no,False
LA,resnet.layer3.8.bn2,True
LA,resnet.layer2.1.bn2,True
LA,resnet.layer3.18.relu,True
LA,no,False
LA,resnet.layer3.15.relu,True
LA,resnet.layer3.12.conv2,True
LA,no,False
LA,resnet.layer3.16.bn2,True
LA,no,LA Create illegal layer
LA,resnet.layer3.7.bn3,True
LA,no,False
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,resnet.layer3.22.relu,True
LA,resnet.layer1.1.bn2,True
LA,resnet.layer3.1.bn3,True
LA,resnet.layer1.1.bn2,True
LA,no,LA Create illegal layer
LA,resnet.layer3.1.bn1,True
LA,resnet.layer3.22.relu,True
LA,resnet.layer3.9.relu,True
LA,resnet.layer3.3.bn1,True
LA,no,LA Create illegal layer
LA,resnet.layer3.5.bn2,True
LA,resnet.layer4.1.relu,True
LA,no,LA Create illegal layer
LA,no,False
LA,resnet.layer3.20.relu,True
LA,no,LA set layers failure
LA,no,LA Create illegal layer
LA,resnet.layer3.16.bn1,True
LA,resnet.bn1,True
LA,resnet.layer3.1.conv2,True
LA,resnet.layer1.2.bn2,True
LA,no,False
LA,no,LA Create illegal layer
LA,resnet.layer3.18.bn1,True
LA,no,False
LA,resnet.layer2.1.conv2,True
LA,resnet.layer1.2.conv2,True
LA,no,LA Create illegal layer
LA,resnet.layer1.2.bn2,True
LA,no,False
LA,no,False
LA,no,LA Create illegal layer
LA,resnet.layer3.0.bn3,True
LA,no,False
LA,no,False
LA,aspp.relu,True
LA,resnet.layer3.14.relu,True
LA,no,LA Create illegal layer
LA,no,False
LA,no,LA Create illegal layer
LA,resnet.layer4.2.relu,True
LA,resnet.layer1.0.conv2,True
LA,resnet.bn1,True
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,resnet.layer2.2.relu,True
LA,no,LA set layers failure
LA,resnet.layer3.16.bn3,True
LA,resnet.layer1.1.conv2,True
LA,no,False
LA,no,False
LA,no,LA Create illegal layer
LA,resnet.layer4.1.relu,True
LA,no,LA set layers failure
LA,resnet.layer2.2.bn3,True
LA,no,LA Create illegal layer
LA,resnet.layer1.1.bn3,True
LA,resnet.layer3.8.bn1,True
LA,aspp.relu,True
LA,resnet.layer3.4.bn2,True
LA,resnet.layer3.9.conv2,True
LA,resnet.layer3.21.bn1,True
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,no,False
LA,resnet.layer4.2.bn1,True
LA,resnet.layer3.4.relu,True
LA,resnet.layer3.14.bn1,True
LA,resnet.layer1.0.bn3,True
LA,resnet.layer1.1.bn2,True
LA,resnet.layer3.7.bn1,True
LA,resnet.layer2.2.conv2,True
LA,no,False
LA,resnet.layer3.4.bn1,True
LA,no,False
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,no,LA set layers failure
LA,no,LA set layers failure
