pt_ms,pt_tf,ms_tf
3.564187,0.018247033,3.552219
2.4104252,0.00091471674,2.4099953
44.145416,0.0010825157,44.14562
1363.5613,0.38156128,1363.5328
1726.6133,0.14559785,1726.6031
65669.39,21.565527,65659.766
766096.5,231.23438,766043.25
2088039.2,2477.2515,2086811.6
2088039.2,2477.2515,2086811.6
736779440000.0,47570636.0,736769100000.0
3395645400000000.0,4116599600.0,3395646500000000.0
5461772000.0,2418182.5,5461548500.0
28721310000.0,13443277.0,28729570000.0
63185486000.0,165137570.0,63350632000.0
33209133000.0,167367630.0,33376500000.0
501243250000.0,2115516800.0,503358750000.0
2.9900116e+18,12380160.0,2.9900116e+18
2.8961411e+19,2007792.0,2.8961411e+19
2.8961411e+19,1335200.0,2.8961411e+19
2.8961411e+19,2007792.0,2.8961411e+19
