mut_types,mut_layer_name,mut_result
LD,base.vgg_base.layers.12,True
LD,base.vgg_base.layers.2,True
LD,base.vgg_base.layers.16,True
LD,base.vgg_base.layers.7,True
LD,base.vgg_base.layers.21,True
LD,base.vgg_base.layers.14,True
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
