mut_types,mut_layer_name,mut_result
NAI,base.conv4_3_CPM,True
NAI,base.vgg_base.layers.16,True
NAI,base.vgg_base.layers.21,True
NAI,base.vgg_base.layers.7,True
NAI,base.vgg_base.layers.21,True
NAI,base.conv4_4_CPM,True
NAI,base.vgg_base.layers.7,True
NAI,base.vgg_base.layers.2,True
NAI,base.vgg_base.layers.14,True
NAI,base.vgg_base.layers.2,True
NAI,base.vgg_base.layers.16,True
NAI,base.vgg_base.layers.10,True
NAI,base.vgg_base.layers.21,True
NAI,base.vgg_base.layers.14,True
NAI,base.vgg_base.layers.14,True
NAI,base.vgg_base.layers.5,True
NAI,base.vgg_base.layers.10,True
NAI,base.vgg_base.layers.5,True
NAI,base.vgg_base.layers.7,True
NAI,base.vgg_base.layers.0,True
NAI,base.conv4_4_CPM,True
NAI,base.vgg_base.layers.16,True
NAI,base.vgg_base.layers.5,True
NAI,base.vgg_base.layers.14,True
NAI,base.vgg_base.layers.7,True
NAI,base.vgg_base.layers.7,True
NAI,base.vgg_base.layers.14,True
NAI,base.vgg_base.layers.0,True
NAI,base.conv4_4_CPM,True
NAI,base.vgg_base.layers.16,True
NAI,base.conv4_4_CPM,True
NAI,base.vgg_base.layers.21,True
NAI,base.vgg_base.layers.10,True
NAI,base.vgg_base.layers.16,True
NAI,base.vgg_base.layers.19,True
NAI,base.vgg_base.layers.0,True
NAI,base.vgg_base.layers.5,True
NAI,base.vgg_base.layers.10,True
NAI,base.vgg_base.layers.12,True
NAI,base.vgg_base.layers.10,True
NAI,base.conv4_3_CPM,True
NAI,base.conv4_3_CPM,True
NAI,base.conv4_3_CPM,True
NAI,base.vgg_base.layers.21,True
NAI,base.vgg_base.layers.16,True
NAI,base.vgg_base.layers.5,True
NAI,base.vgg_base.layers.19,True
NAI,base.vgg_base.layers.16,True
NAI,base.vgg_base.layers.19,True
NAI,base.vgg_base.layers.0,True
NAI,base.vgg_base.layers.12,True
NAI,base.conv4_3_CPM,True
NAI,base.vgg_base.layers.5,True
NAI,base.vgg_base.layers.7,True
NAI,base.vgg_base.layers.2,True
NAI,base.vgg_base.layers.5,True
NAI,base.conv4_4_CPM,True
NAI,base.vgg_base.layers.7,True
NAI,base.vgg_base.layers.7,True
NAI,base.vgg_base.layers.7,True
NAI,base.vgg_base.layers.19,True
NAI,base.vgg_base.layers.0,True
NAI,base.vgg_base.layers.14,True
NAI,base.conv4_4_CPM,True
NAI,base.vgg_base.layers.7,True
NAI,base.vgg_base.layers.12,True
NAI,base.conv4_3_CPM,True
NAI,base.vgg_base.layers.12,True
NAI,base.vgg_base.layers.5,True
NAI,base.vgg_base.layers.21,True
NAI,base.vgg_base.layers.14,True
NAI,base.vgg_base.layers.12,True
NAI,base.vgg_base.layers.10,True
NAI,base.vgg_base.layers.19,True
NAI,base.vgg_base.layers.0,True
NAI,base.vgg_base.layers.7,True
NAI,base.vgg_base.layers.2,True
NAI,base.vgg_base.layers.7,True
NAI,base.conv4_3_CPM,True
NAI,base.vgg_base.layers.7,True
NAI,base.vgg_base.layers.12,True
NAI,base.vgg_base.layers.7,True
NAI,base.vgg_base.layers.21,True
NAI,base.vgg_base.layers.10,True
NAI,base.conv4_4_CPM,True
NAI,base.vgg_base.layers.5,True
NAI,base.vgg_base.layers.0,True
NAI,base.vgg_base.layers.5,True
NAI,base.vgg_base.layers.5,True
NAI,base.vgg_base.layers.19,True
NAI,base.vgg_base.layers.0,True
NAI,base.conv4_3_CPM,True
NAI,base.vgg_base.layers.16,True
NAI,base.vgg_base.layers.21,True
NAI,base.vgg_base.layers.21,True
NAI,base.vgg_base.layers.19,True
NAI,base.conv4_3_CPM,True
NAI,base.vgg_base.layers.7,True
NAI,base.vgg_base.layers.7,True
NAI,base.conv4_4_CPM,True
