mut_types,mut_layer_name,mut_result
NS,base.conv4_3_CPM,True
NS,base.vgg_base.layers.10,True
NS,base.conv4_4_CPM,True
NS,base.vgg_base.layers.21,True
NS,base.vgg_base.layers.16,True
NS,base.vgg_base.layers.2,True
NS,base.vgg_base.layers.16,True
NS,base.vgg_base.layers.16,True
NS,base.vgg_base.layers.16,True
NS,base.conv4_3_CPM,True
NS,base.vgg_base.layers.14,True
NS,base.vgg_base.layers.0,True
NS,base.conv4_4_CPM,True
NS,base.vgg_base.layers.21,True
NS,base.vgg_base.layers.5,True
NS,base.vgg_base.layers.16,True
NS,base.conv4_3_CPM,True
NS,base.vgg_base.layers.16,True
NS,base.vgg_base.layers.16,True
NS,base.vgg_base.layers.16,True
NS,base.conv4_4_CPM,True
NS,base.conv4_3_CPM,True
NS,base.vgg_base.layers.16,True
NS,base.vgg_base.layers.5,True
NS,base.vgg_base.layers.10,True
NS,base.vgg_base.layers.2,True
NS,base.conv4_3_CPM,True
NS,base.vgg_base.layers.5,True
NS,base.vgg_base.layers.10,True
NS,base.vgg_base.layers.19,True
NS,base.vgg_base.layers.21,True
NS,base.vgg_base.layers.19,True
NS,base.vgg_base.layers.19,True
NS,base.vgg_base.layers.19,True
NS,base.conv4_3_CPM,True
NS,base.vgg_base.layers.21,True
NS,base.vgg_base.layers.16,True
NS,base.vgg_base.layers.0,True
NS,base.conv4_3_CPM,True
NS,base.vgg_base.layers.0,True
NS,base.vgg_base.layers.14,True
NS,base.vgg_base.layers.0,True
NS,base.vgg_base.layers.5,True
NS,base.conv4_4_CPM,True
NS,base.conv4_3_CPM,True
NS,base.vgg_base.layers.16,True
NS,base.vgg_base.layers.12,True
NS,base.vgg_base.layers.10,True
NS,base.vgg_base.layers.21,True
NS,base.vgg_base.layers.0,True
NS,base.vgg_base.layers.21,True
NS,base.vgg_base.layers.2,True
NS,base.vgg_base.layers.16,True
NS,base.vgg_base.layers.14,True
NS,base.vgg_base.layers.14,True
NS,base.vgg_base.layers.5,True
NS,base.vgg_base.layers.0,True
NS,base.vgg_base.layers.10,True
NS,base.conv4_3_CPM,True
NS,base.vgg_base.layers.19,True
NS,base.vgg_base.layers.2,True
NS,base.vgg_base.layers.16,True
NS,base.conv4_4_CPM,True
NS,base.conv4_3_CPM,True
NS,base.vgg_base.layers.12,True
NS,base.vgg_base.layers.5,True
NS,base.vgg_base.layers.19,True
NS,base.vgg_base.layers.5,True
NS,base.vgg_base.layers.21,True
NS,base.vgg_base.layers.7,True
NS,base.vgg_base.layers.21,True
NS,base.vgg_base.layers.7,True
NS,base.conv4_4_CPM,True
NS,base.vgg_base.layers.19,True
NS,base.vgg_base.layers.12,True
NS,base.vgg_base.layers.21,True
NS,base.conv4_3_CPM,True
NS,base.vgg_base.layers.21,True
NS,base.conv4_4_CPM,True
NS,base.vgg_base.layers.12,True
NS,base.vgg_base.layers.12,True
NS,base.vgg_base.layers.12,True
NS,base.vgg_base.layers.7,True
NS,base.vgg_base.layers.21,True
NS,base.vgg_base.layers.14,True
NS,base.vgg_base.layers.0,True
NS,base.vgg_base.layers.2,True
NS,base.vgg_base.layers.21,True
NS,base.vgg_base.layers.10,True
NS,base.vgg_base.layers.10,True
NS,base.vgg_base.layers.21,True
NS,base.vgg_base.layers.16,True
NS,base.vgg_base.layers.21,True
NS,base.vgg_base.layers.12,True
NS,base.vgg_base.layers.19,True
NS,base.vgg_base.layers.2,True
NS,base.vgg_base.layers.16,True
NS,base.vgg_base.layers.19,True
NS,base.conv4_4_CPM,True
NS,base.vgg_base.layers.10,True
