mut_types,mut_layer_name,mut_result
RA,resnet.layer1.1.relu,True
RA,resnet.layer3.15.relu,True
RA,resnet.layer3.17.relu,True
RA,resnet.layer4.2.relu,True
RA,resnet.layer2.2.relu,True
RA,resnet.layer3.0.relu,True
RA,resnet.layer1.0.relu,True
RA,resnet.layer3.17.relu,True
RA,resnet.layer4.1.relu,True
RA,resnet.layer3.22.relu,True
RA,resnet.layer3.0.relu,True
RA,resnet.layer3.1.relu,True
RA,resnet.layer3.20.relu,True
RA,resnet.layer3.12.relu,True
RA,resnet.layer3.3.relu,True
RA,resnet.layer1.1.relu,True
RA,aspp.aspp_pooling.conv.2,True
RA,resnet.layer4.1.relu,True
RA,resnet.layer3.12.relu,True
RA,resnet.layer3.21.relu,True
RA,resnet.layer3.3.relu,True
RA,resnet.layer3.11.relu,True
RA,resnet.layer3.12.relu,True
RA,resnet.layer2.0.relu,True
RA,resnet.layer1.0.relu,True
RA,resnet.layer3.8.relu,True
RA,resnet.layer3.17.relu,True
RA,resnet.layer1.1.relu,True
RA,aspp.aspp3.aspp_conv.2,True
RA,aspp.aspp4.aspp_conv.2,True
RA,resnet.layer3.11.relu,True
RA,aspp.aspp4.aspp_conv.2,True
RA,resnet.layer3.1.relu,True
RA,resnet.layer3.16.relu,True
RA,resnet.layer3.3.relu,True
RA,resnet.layer3.10.relu,True
RA,resnet.layer3.14.relu,True
RA,resnet.layer3.11.relu,True
RA,resnet.layer3.17.relu,True
RA,resnet.layer3.11.relu,True
RA,resnet.layer3.5.relu,True
RA,resnet.layer2.0.relu,True
RA,resnet.layer3.12.relu,True
RA,aspp.aspp3.aspp_conv.2,True
RA,resnet.layer3.6.relu,True
RA,resnet.layer4.0.relu,True
RA,resnet.layer2.2.relu,True
RA,resnet.layer3.1.relu,True
RA,resnet.layer3.5.relu,True
RA,aspp.aspp4.aspp_conv.2,True
RA,resnet.layer3.16.relu,True
RA,resnet.layer2.0.relu,True
RA,resnet.layer3.12.relu,True
RA,resnet.layer4.0.relu,True
RA,resnet.layer3.2.relu,True
RA,resnet.layer3.3.relu,True
RA,resnet.layer3.19.relu,True
RA,resnet.layer3.0.relu,True
RA,resnet.layer3.21.relu,True
RA,resnet.layer4.1.relu,True
RA,resnet.layer3.20.relu,True
RA,resnet.layer3.21.relu,True
RA,resnet.layer3.12.relu,True
RA,aspp.aspp4.aspp_conv.2,True
RA,resnet.layer3.7.relu,True
RA,resnet.layer3.3.relu,True
RA,resnet.layer3.17.relu,True
RA,resnet.relu,True
RA,resnet.layer3.6.relu,True
RA,resnet.layer3.0.relu,True
RA,aspp.aspp3.aspp_conv.2,True
RA,resnet.layer3.3.relu,True
RA,resnet.layer3.2.relu,True
RA,resnet.layer3.3.relu,True
RA,aspp.aspp3.aspp_conv.2,True
RA,resnet.layer3.7.relu,True
RA,resnet.layer3.8.relu,True
RA,resnet.layer2.0.relu,True
RA,resnet.layer2.0.relu,True
RA,resnet.layer2.2.relu,True
RA,resnet.layer3.9.relu,True
RA,resnet.layer3.15.relu,True
RA,aspp.aspp4.aspp_conv.2,True
RA,aspp.aspp_pooling.conv.2,True
RA,resnet.layer4.2.relu,True
RA,resnet.layer3.12.relu,True
RA,resnet.layer3.11.relu,True
RA,resnet.layer2.2.relu,True
RA,resnet.layer3.16.relu,True
RA,resnet.layer3.0.relu,True
RA,resnet.layer3.1.relu,True
RA,aspp.aspp_pooling.conv.2,True
RA,resnet.layer3.19.relu,True
RA,aspp.relu,True
RA,resnet.layer3.15.relu,True
RA,resnet.layer3.3.relu,True
RA,resnet.layer1.1.relu,True
RA,resnet.layer3.20.relu,True
RA,aspp.aspp3.aspp_conv.2,True
RA,resnet.layer3.1.relu,True
