pt_ms,pt_tf,ms_tf
0.0008529316,0.00011665676,0.0009683324
0.00015583681,5.030691e-05,0.00012220176
8.167097e-05,4.0852556e-05,6.580071e-05
5.2701875e-05,2.774663e-05,5.28515e-05
4.3089305e-05,1.2942743e-05,4.4551623e-05
3.7922575e-05,4.3263344e-06,3.898153e-05
3.4672037e-05,2.7671344e-06,3.485708e-05
3.4776775e-05,3.0388085e-06,3.4871213e-05
3.5056695e-05,2.8272673e-06,3.533124e-05
2.5033198e-05,2.3939374e-06,2.4801817e-05
2.9730343e-05,4.1146986e-06,3.2649874e-05
1.5284042e-05,1.7162554e-06,1.5299864e-05
3.0314728e-05,1.723216e-06,3.0339637e-05
2.9957007e-05,1.3065171e-06,2.9807583e-05
2.9697614e-05,1.8615098e-06,3.000807e-05
2.8318458e-05,2.8740087e-06,2.7925907e-05
3.099291e-05,3.3503898e-06,3.0159401e-05
4.284817e-05,2.6708803e-06,4.397805e-05
3.6838384e-05,1.6230338e-06,3.724732e-05
3.743552e-05,2.3081109e-06,3.685421e-05
