mstorch_pt_ms,mstorch_pt_tf,mstorch_ms_tf,mstorch_lasttwo_dist,ms_distance,torch_distance,if_success
0.4031519,-100,-100,0.81334984,2.0353214e-06,1229167.4,True
0.49923444,-100,-100,1.0117252,3.7972704e-06,0.113919385,True
0.5518366,-100,-100,1.0868766,4.327985e-06,0.11693339,True
0.8676607,-100,-100,1.7587249,4.9088553e-06,0.11748725,True
3.6247032,-100,-100,7.1912193,7.361311e-06,0.120131224,True
4.7610416,-100,-100,9.463435,7.4488776e-06,0.14285742,True
7.3668213,-100,-100,14.40391,7.935718e-06,0.14993659,True
9.368128,-100,-100,18.317461,8.59815e-06,0.18751058,True
15.283282,-100,-100,29.880314,1.0323934e-05,0.21802615,True
24.498913,-100,-100,47.41159,1.1439577e-05,0.22840017,True
30.614788,-100,-100,59.463257,1.1625788e-05,0.33176866,True
41.0418,-100,-100,78.19667,1.19690885e-05,1.1882176,True
39.304146,-100,-100,74.73068,1.3190175e-05,1.2292236,True
47.198452,-100,-100,92.998856,1.4414548e-05,10.889948,True
39.47073,-100,-100,78.53993,1.4660411e-05,1188.7986,True
43.496147,-100,-100,85.182915,1.4832032e-05,767.4593,True
54.214874,-100,-100,104.3856,1.5365533e-05,2185.7827,True
65.76926,-100,-100,126.22307,1.5772372e-05,18858.162,True
79.53344,-100,-100,151.45819,1.4929704e-05,30315.2,True
182.04906,-100,-100,348.35077,1.5295002e-05,62758.832,True
