mut_types,mut_layer_name,mut_result
LD,network.14.0,True
LS,"network.26.0,network.24.2",True
RA,network.26.2,True
LC,network.20.2,True
RA,network.1.2,True
NAI,network.20.0,True
NAI,network.5.0,True
WS,network.25.0,True
NS,network.16.0,True
LD,network.22.1,True
WS,network.4.0,True
GF,network.1,True
LC,no,LC set layers failure
LC,no,LC set layers failure
LD,network.5.1,True
WS,network.1.0,True
NS,network.8.0,True
NS,network.15.0,True
LA,network.17.0,True
NS,network.20.0,True
GF,network.18.2,True
LD,network.17.0,True
RA,network.26.2,True
GF,network.25.1,True
NEB,network.7.0,True
NS,network.4.0,True
LS,"network.22.2,network.15.1",True
GF,network.12.2,True
NEB,network.7.0,True
AFRM,network.8.2,True
RA,network.12.2,True
GF,network.0.1,True
AFRM,network.23.2,True
AFRM,network.3.2,True
RA,network.25.2,True
AFRM,network.21.2,True
NS,network.21.0,True
NEB,network.7.0,True
LD,network.6.1,True
LC,no,LC set layers failure
NAI,network.13.0,True
RA,network.6.2,True
GF,network.8,True
NAI,network.25.0,True
LD,network.13.1,True
GF,network.21.1,True
LD,network.2.1,True
NAI,network.7.0,True
NEB,network.7.0,True
NEB,network.7.0,True
LD,network.18.1,True
NAI,network.24.2,True
LA,network.17.2,True
GF,network.19,True
LS,"network.25.2,network.26.0",True
NEB,network.7.0,True
LC,network.26.0,True
LS,"network.11.1,network.11.2",True
LD,network.23.1,True
NS,network.24.2,True
NS,network.7.0,True
LS,"network.26.0,network.24.2",True
RA,network.15.1,True
LD,network.12.1,True
LC,network.6.0,True
GF,network.10.2,True
AFRM,network.25.2,True
NEB,network.26.0,True
LC,no,LC set layers failure
NEB,network.26.0,True
LC,network.26.2,True
LA,network.1.2,True
LS,"network.24.1,network.26.2",True
AFRM,network.9.2,True
RA,network.12.2,True
NAI,network.20.0,True
LD,network.4.1,True
LC,network.19.0,True
RA,network.4.2,True
RA,network.15.1,True
AFRM,network.15.2,True
LA,network.5.0,True
GF,network.10.1,True
LC,network.24.2,True
NEB,network.26.0,True
RA,network.0.2,True
LD,network.25.1,True
NS,network.18.0,True
NS,network.11.0,True
NEB,network.26.0,True
LC,network.17.1,True
NS,network.22.0,True
LD,network.3.1,True
LS,"network.1.2,network.1.1",True
NAI,network.13.0,True
NAI,network.22.0,True
NS,network.6.0,True
AFRM,network.13.2,True
RA,network.2.2,True
NEB,network.26.0,True
