mut_types,mut_layer_name,mut_result
LD,network.layer2.0.bn1,True
LS,"network.layer3.1.bn3,network.layer3.4.relu",True
RA,network.layer2.0.relu,True
LC,network.layer1.0.conv2,True
RA,network.layer3.1.relu,True
NAI,network.layer1.2.conv2,True
NAI,network.layer3.4.conv3,True
WS,network.layer2.3.conv1,True
NS,network.conv1,True
LD,network.layer3.0.bn3,True
WS,network.layer1.2.conv3,True
GF,network.layer4.1.conv2,True
LC,network.layer2.1.conv2,True
LC,network.layer2.2.bn3,True
LD,network.layer3.2.bn3,True
WS,network.layer4.0.conv3,True
NS,network.layer2.2.conv2,True
NS,network.layer3.5.conv3,True
LA,network.layer3.0.relu,True
NS,network.layer2.2.conv2,True
GF,network.layer3.0.bn2,True
LD,network.layer3.3.bn3,True
RA,network.layer1.0.relu,True
GF,network.layer3.1.bn2,True
NEB,network.layer2.3.conv1,True
NS,network.layer3.2.conv3,True
LS,"network.layer4.2.conv2,network.layer4.1.bn2",True
GF,network.layer1.0.relu,True
NEB,network.layer2.3.conv1,True
AFRM,network.layer1.1.relu,True
RA,network.layer3.1.bn3,True
GF,network.maxpool,True
AFRM,network.layer4.0.relu,True
AFRM,network.layer3.1.relu,True
RA,network.layer2.0.relu,True
AFRM,network.layer3.1.bn3,True
NS,network.layer4.1.conv2,True
NEB,network.layer2.3.conv1,True
LD,network.layer1.0.bn1,True
LC,network.layer3.2.relu,True
NAI,network.layer4.0.conv3,True
RA,network.layer4.1.relu,True
GF,network.layer3.2.conv3,True
NAI,network.layer4.1.bn2,True
LD,network.layer2.2.bn1,True
GF,network.layer4.2,True
LD,network.layer4.1.bn3,True
NAI,network.layer1.0.conv1,True
NEB,network.layer2.3.conv1,True
NEB,network.layer2.3.conv1,True
LD,network.layer3.5.conv2,True
NAI,network.layer1.2.conv2,True
LA,network.layer2.3.bn3,True
GF,network.layer2.2.bn2,True
LS,"network.layer3.2.bn2,network.layer3.2.conv2",True
NEB,network.layer2.3.conv1,True
LC,network.layer4.2.conv2,True
LS,"network.layer2.1.conv2,network.layer2.1.bn1",True
LD,network.layer4.1.bn1,True
NS,network.layer3.0.conv1,True
NS,network.layer1.0.conv2,True
LS,"network.layer4.2.bn1,network.layer4.1.bn2",True
RA,network.layer2.2.relu,True
LD,network.layer1.0.conv1,True
LC,network.layer1.0.relu,True
GF,network.layer2.0.down_sample_layer.1,True
AFRM,network.layer1.2.relu,True
NEB,network.layer2.3.conv1,True
LC,network.layer3.4.bn1,True
NEB,network.layer2.3.conv1,True
LC,network.layer3.5.relu,True
LA,network.layer2.3.bn3,True
LS,"network.layer4.0.bn2,network.layer4.1.conv2",True
AFRM,network.layer2.3.relu,True
RA,network.layer2.2.relu,True
NAI,network.layer2.2.conv1,True
LD,network.layer4.1.bn2,True
LC,network.layer4.2.bn1,True
RA,network.layer2.0.relu,True
RA,network.layer2.2.relu,True
AFRM,network.layer4.2.relu,True
LA,network.layer4.1.conv2,True
GF,network.layer2.0.down_sample_layer,True
LC,network.layer3.1.bn1,True
NEB,network.layer2.3.conv1,True
RA,network.layer3.3.relu,True
LD,network.layer4.2.bn1,True
NS,network.layer3.2.conv3,True
NS,network.layer2.1.conv3,True
