mut_types,mut_layer_name,mut_result
LD,stage_2.conv6_L2,True
LS,"base.vgg_base.layers.6,base.vgg_base.layers.7",True
RA,stage_3.relu,True
LC,stage_4.conv4_L1,True
RA,base.vgg_base.layers.3,True
NAI,stage_6.conv6_L1,True
NAI,stage_5.conv5_L1,True
WS,stage_1.conv3_CPM_L1,True
NS,stage_6.conv7_L1,True
LD,stage_1.conv1_CPM_L2,True
WS,stage_4.conv6_L2,True
GF,base.vgg_base.layers.2,True
LC,stage_5.conv2_L2,True
LC,stage_6.conv3_L2,True
LD,stage_2.conv5_L2,True
WS,stage_2.conv1_L2,True
NS,stage_2.conv6_L1,True
NS,stage_3.conv5_L1,True
LA,no,False
NS,stage_2.conv1_L1,True
GF,stage_6.conv4_L2,True
LD,stage_2.conv6_L1,True
RA,stage_6.relu,True
GF,stage_5.conv7_L2,True
NEB,stage_6.conv1_L1,True
NS,stage_4.conv3_L1,True
LS,"stage_2.relu,stage_4.conv3_L2",True
GF,stage_2.conv7_L2,True
NEB,stage_6.conv1_L1,True
AFRM,base.vgg_base.layers.8,True
RA,base.vgg_base.layers.15,True
GF,base.vgg_base.layers.0,True
AFRM,base.vgg_base.layers.1,True
AFRM,stage_5.relu,True
RA,base.vgg_base.layers.22,True
AFRM,stage_1.relu,True
NS,stage_2.conv2_L1,True
NEB,stage_6.conv1_L1,True
LD,stage_5.conv4_L2,True
LC,no,LC set layers failure
NAI,stage_4.conv4_L2,True
RA,stage_3.relu,True
GF,stage_1.conv3_CPM_L1,True
NAI,stage_1.conv5_CPM_L1,True
LD,stage_1.conv2_CPM_L2,True
GF,stage_4.relu,True
LD,stage_4.conv5_L1,True
NAI,stage_6.conv6_L2,True
NEB,stage_6.conv1_L1,True
NEB,stage_6.conv1_L1,True
LD,stage_6.conv4_L1,True
NAI,base.vgg_base.layers.16,True
LA,stage_4.conv6_L1,True
GF,stage_4.conv3_L1,True
LS,no,False
NEB,stage_6.conv1_L1,True
LC,stage_5.conv6_L2,True
LS,"stage_4.conv3_L2,stage_3.conv4_L1",True
LD,stage_3.conv5_L2,True
NS,stage_2.conv1_L2,True
NS,stage_3.conv1_L1,True
LS,"stage_3.relu,stage_6.conv5_L1",True
RA,stage_6.relu,True
LD,stage_2.conv3_L1,True
LC,stage_4.conv2_L2,True
GF,stage_2.conv4_L1,True
AFRM,stage_3.conv4_L1,True
NEB,stage_6.conv1_L1,True
LC,stage_5.conv3_L2,True
NEB,stage_6.conv1_L1,True
LC,stage_6.conv3_L1,True
LA,stage_3.conv3_L2,True
LS,"stage_4.conv4_L2,stage_5.conv3_L2",True
AFRM,stage_6.relu,True
RA,stage_6.conv5_L1,True
NAI,stage_6.conv6_L2,True
LD,stage_6.conv4_L2,True
LC,stage_2.conv4_L2,True
RA,base.vgg_base.layers.20,True
RA,base.vgg_base.layers.3,True
AFRM,base.vgg_base.layers.7,True
LA,no,LA Create illegal layer
GF,stage_2.conv1_L1,True
LC,stage_2.conv5_L1,True
NEB,stage_5.conv3_L2,True
RA,base.vgg_base.layers.17,True
LD,stage_1.conv1_CPM_L1,True
NS,stage_4.conv1_L2,True
NS,stage_4.conv3_L2,True
NEB,stage_5.conv3_L2,True
LC,stage_4.conv2_L1,True
NS,stage_2.conv2_L1,True
LD,stage_1.conv3_CPM_L1,True
LS,"stage_4.conv5_L2,stage_2.conv5_L1",True
NAI,stage_6.conv3_L2,True
NAI,stage_1.conv5_CPM_L2,True
NS,stage_1.conv4_CPM_L1,True
AFRM,base.vgg_base.layers.15,True
RA,base.relu,True
NEB,stage_5.conv3_L2,True
LD,stage_4.conv3_L2,True
WS,no,no suitable layer
LD,stage_6.conv6_L1,True
LC,stage_3.conv5_L1,True
NS,stage_4.conv2_L2,True
NEB,stage_5.conv3_L2,True
GF,base.vgg_base.layers.17,True
AFRM,base.vgg_base.layers.17,True
NS,stage_5.conv7_L2,True
LS,"stage_4.conv5_L2,stage_3.conv2_L2",True
RA,base.relu,True
LD,stage_6.conv6_L2,True
LS,"stage_3.conv5_L1,stage_2.conv2_L1",True
RA,stage_4.relu,True
NAI,stage_6.conv7_L2,True
LC,stage_5.conv3_L1,True
LS,"stage_6.conv5_L1,stage_2.conv2_L2",True
NAI,stage_2.conv2_L1,True
RA,stage_2.conv2_L2,True
LD,stage_4.conv5_L2,True
NEB,stage_5.conv3_L2,True
NS,stage_4.conv6_L1,True
AFRM,stage_2.conv2_L2,True
LC,base.vgg_base.layers.22,True
GF,stage_6.conv3_L1,True
NAI,stage_5.conv4_L1,True
WS,stage_4.conv1_L2,True
AFRM,base.vgg_base.layers.11,True
LS,"stage_4.conv4_L2,stage_1.conv3_CPM_L2",True
NAI,stage_3.conv1_L1,True
NEB,stage_5.conv3_L2,True
NEB,stage_5.conv3_L2,True
LD,base.vgg_base.layers.6,True
GF,stage_1,True
NEB,stage_5.conv3_L2,True
LC,stage_3.conv2_L2,True
NAI,stage_2.conv5_L1,True
LS,"stage_6.conv3_L2,stage_2.relu",True
NS,stage_2.conv5_L1,True
LS,"stage_5.conv5_L1,stage_5.conv6_L2",True
GF,stage_3.conv3_L1,True
WS,stage_2.conv4_L1,True
AFRM,base.relu,True
GF,stage_6.conv7_L1,True
NEB,stage_6.conv3_L2,True
GF,base.vgg_base.layers.14,True
AFRM,stage_4.relu,True
LS,"stage_2.relu,stage_4.conv4_L2",True
LC,stage_6.conv5_L2,True
LC,stage_2.relu,True
LS,"stage_2.relu,stage_3.conv2_L1",True
NAI,stage_6.conv3_L2,True
GF,stage_4.conv1_L1,True
AFRM,base.vgg_base.layers.3,True
WS,no,no suitable layer
LC,stage_5.conv5_L2,True
WS,no,no suitable layer
NEB,stage_6.conv3_L2,True
NEB,stage_6.conv3_L2,True
LD,stage_4.conv6_L1,True
NEB,stage_6.conv3_L2,True
AFRM,base.vgg_base.layers.20,True
RA,base.vgg_base.layers.13,True
LS,"stage_3.conv4_L2,stage_1.conv3_CPM_L2",True
LC,stage_3.relu,True
