mut_types,mut_layer_name,mut_result
LD,layer3.5.bn3,True
LS,"layer2.1.conv2,layer2.3.bn1",True
RA,layer3.4.relu,True
LC,layer3.1.bn2,True
RA,layer4.1.relu,True
NAI,layer1.1.conv1,True
NAI,layer4.1.conv2,True
WS,layer1.0.down_sample_layer.0,True
NS,layer3.2.conv3,True
LD,layer2.2.bn1,True
WS,layer2.0.down_sample_layer.0,True
GF,layer4.1.conv2,True
LC,layer2.3.relu,True
LC,layer3.2.relu,True
LD,layer3.5.bn2,True
WS,end_point,True
NS,layer4.0.conv3,True
NS,layer3.0.conv1,True
LA,no,LA Create illegal layer
NS,layer1.0.down_sample_layer.0,True
GF,layer3.0.bn2,True
LD,layer4.1.bn2,True
RA,layer3.5.relu,True
GF,layer3.1.conv2,True
NEB,layer3.5.conv1,True
NS,layer4.0.conv1,True
LS,no,False
GF,layer1.0.relu,True
NEB,layer3.5.conv1,True
AFRM,layer3.1.relu,True
RA,layer4.0.relu,True
GF,maxpool,True
AFRM,layer1.0.relu,True
AFRM,layer3.3.relu,True
RA,layer4.1.relu,True
AFRM,layer3.5.relu,True
NS,layer3.5.conv3,True
NEB,layer3.5.conv1,True
LD,layer3.5.conv2,True
LC,layer4.1.relu,True
NAI,layer2.3.bn1,True
RA,layer3.0.relu,True
GF,layer3.2.bn1,True
NAI,layer3.1.conv1,True
LD,layer3.3.bn3,True
GF,layer4.2,True
LD,layer1.0.bn3,True
NAI,layer1.0.conv3,True
NEB,layer3.5.conv1,True
NEB,layer3.5.conv1,True
LD,layer2.1.bn3,True
NAI,layer3.5.conv3,True
LA,layer3.1.bn3,True
GF,layer2.2.bn2,True
LS,"layer1.0.conv2,layer1.2.bn1",True
NEB,layer3.5.conv1,True
LC,layer2.2.bn3,True
LS,"layer3.0.bn3,layer3.1.bn3",True
LD,layer2.1.bn2,True
NS,layer4.2.conv1,True
NS,layer4.0.conv1,True
LS,"layer3.1.conv2,layer3.2.bn2",True
RA,layer4.0.relu,True
LD,layer4.0.down_sample_layer.1,True
LC,layer2.3.bn3,True
GF,layer2.0.down_sample_layer,True
AFRM,layer4.2.relu,True
NEB,layer3.5.conv1,True
LC,layer1.2.bn2,True
NEB,layer3.5.conv1,True
LC,layer3.4.bn2,True
LA,layer3.1.bn2,True
LS,"layer2.2.bn2,layer2.3.bn1",True
AFRM,layer3.4.relu,True
RA,layer2.1.relu,True
NAI,layer4.0.down_sample_layer.0,True
LD,layer2.2.bn3,True
LC,layer3.0.bn1,True
RA,layer3.0.relu,True
RA,layer1.2.relu,True
AFRM,layer1.2.relu,True
LA,layer3.3.conv2,True
GF,layer2.0.bn3,True
LC,layer3.2.conv2,True
NEB,layer3.5.conv1,True
RA,layer3.0.relu,True
LD,layer2.1.conv2,True
NS,layer2.3.conv1,True
NS,layer1.2.conv2,True
NEB,layer3.5.conv1,True
LC,layer2.0.bn2,True
NS,layer1.2.conv1,True
LD,layer3.5.bn1,True
LS,"layer3.3.bn2,layer3.4.conv2",True
NAI,layer3.3.bn2,True
NAI,layer2.0.conv3,True
NS,layer3.0.down_sample_layer.0,True
AFRM,layer2.1.relu,True
RA,layer3.0.relu,True
NEB,layer3.5.conv1,True
LD,layer3.2.conv2,True
WS,layer4.1.conv1,True
LD,layer3.2.relu,True
LC,no,LC set layers failure
NS,layer1.0.down_sample_layer.0,True
NEB,layer3.5.conv1,True
GF,layer1.1.bn1,True
AFRM,layer3.0.relu,True
NS,layer3.0.conv3,True
LS,"layer1.0.bn1,layer1.1.conv2",True
RA,layer2.2.relu,True
LD,layer1.1.bn2,True
LS,"relu,bn1",True
RA,layer1.1.relu,True
NAI,layer2.3.conv2,True
LC,layer1.1.relu,True
LS,"layer3.2.bn2,layer3.4.conv2",True
NAI,layer2.0.conv2,True
RA,layer2.2.relu,True
LD,layer2.3.conv2,True
NEB,layer3.5.conv1,True
NS,layer1.0.bn1,True
AFRM,bn1,True
LC,layer1.0.bn2,True
GF,layer3.3.conv3,True
NAI,layer3.1.bn2,True
WS,layer3.0.conv3,True
AFRM,layer4.0.relu,True
LS,"layer3.3.conv2,layer3.3.bn1",True
NAI,layer3.3.bn1,True
NEB,layer3.5.conv1,True
NEB,layer3.5.conv1,True
LD,layer4.0.bn1,True
GF,layer1.2.bn1,True
NEB,layer3.5.conv1,True
LC,layer2.3.bn1,True
NAI,layer3.0.conv1,True
LS,"layer3.0.bn3,layer3.4.bn3",True
NS,layer2.3.conv1,True
LS,"layer3.3.bn1,layer3.4.bn1",True
GF,layer2.2,True
WS,layer1.2.conv1,True
