pt_ms,pt_tf,ms_tf
0.32257777,-100,-100
0.44340307,-100,-100
0.50619036,-100,-100
171.08478,-100,-100
150.71765,-100,-100
144.50388,-100,-100
265.13242,-100,-100
303.97385,-100,-100
291.79175,-100,-100
242.30252,-100,-100
145.12296,-100,-100
151.41113,-100,-100
148.47525,-100,-100
151.6617,-100,-100
166.37704,-100,-100
221.94705,-100,-100
235.47783,-100,-100
242.80978,-100,-100
239.16838,-100,-100
462.60254,-100,-100
781.5148,-100,-100
798.2053,-100,-100
458.74136,-100,-100
1137.7352,-100,-100
1034.0083,-100,-100
1124.3241,-100,-100
431.4522,-100,-100
413.8007,-100,-100
426.25333,-100,-100
424.8449,-100,-100
397.45563,-100,-100
400.6302,-100,-100
413.3789,-100,-100
415.4621,-100,-100
402.41586,-100,-100
414.03702,-100,-100
430.7556,-100,-100
425.3001,-100,-100
433.25513,-100,-100
1392.0099,-100,-100
