mstorch_pt_ms,mstorch_pt_tf,mstorch_ms_tf,mstorch_lasttwo_dist,ms_distance,torch_distance,if_success
1.1099926,-100,-100,0.05174594,0.0,6.2462397,True
1.1129566,-100,-100,0.051921554,0.06672971,6.3594065,True
1.1091076,-100,-100,0.051393062,0.14134797,6.3246536,True
1.1095822,-100,-100,0.050234713,0.1336152,6.338924,True
1.1081004,-100,-100,0.049222104,0.40071863,6.384346,True
1.1116121,-100,-100,0.04834611,0.43131876,6.3854585,True
1.1108488,-100,-100,0.048511103,0.49319643,6.4369874,True
1.0928253,-100,-100,0.048371162,0.59399873,6.433065,True
1.0954334,-100,-100,0.049010508,0.6200697,6.4195733,True
,-100,-100,,,6.404654,True
,-100,-100,,,6.4139695,True
,-100,-100,,,6.410924,True
,-100,-100,,,6.3836484,True
,-100,-100,,,6.347432,True
,-100,-100,,,6.345536,True
,-100,-100,,,6.346401,True
,-100,-100,,,6.348039,True
,-100,-100,,,6.358036,True
,-100,-100,,,6.3306127,True
,-100,-100,,,6.327817,True
