mut_types,mut_layer_name,mut_result
LA,layers.15,True
LA,no,LA Create illegal layer
LA,layers.12,True
LA,layers.22,True
LA,layers.12,True
LA,layers.11,True
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,layers.36,True
LA,layers.31,True
LA,layers.5,True
LA,layers.31,True
LA,layers.31,True
LA,layers.28,True
LA,layers.1,True
LA,layers.31,True
LA,layers.25,True
LA,layers.5,True
LA,layers.4,True
LA,layers.16,True
LA,layers.4,True
LA,no,LA Create illegal layer
LA,layers.19,True
LA,no,LA Create illegal layer
LA,layers.12,True
LA,layers.16,True
LA,layers.21,True
LA,layers.16,True
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,layers.38,True
LA,layers.2,True
LA,no,LA Create illegal layer
LA,layers.28,True
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,layers.19,True
LA,layers.4,True
LA,no,LA Create illegal layer
