mstorch_pt_ms,mstorch_pt_tf,mstorch_ms_tf,mstorch_lasttwo_dist,ms_distance,torch_distance,if_success
2.2149985,-100,-100,0.72982746,0.0,,True
2118.7466,-100,-100,605.3047,216.63263,73.421104,True
125040.64,-100,-100,32699.035,25982.846,10787.04,True
8270555600.0,-100,-100,2188567600.0,10296284.0,617994.0,True
18833687000000.0,-100,-100,4798361000000.0,42969555000.0,24408232000.0,True
2.44959e+17,-100,-100,6.304743e+16,1424960400000000.0,415849800000000.0,True
3.4628197e+19,-100,-100,7.5987194e+18,2.7978415e+18,5.2741333e+17,True
3.7061065e+23,-100,-100,7.793414e+22,8.7835005e+20,7.804375e+20,False
5.2528557e+26,-100,-100,1.1052297e+26,2.3816346e+24,6.750224e+23,True
2.0712504e+31,-100,-100,4.052243e+30,7.333189e+28,3.2733324e+28,True
inf,-100,-100,inf,inf,inf,True
,-100,-100,,,,True
,-100,-100,,,,True
,-100,-100,,,,True
,-100,-100,,,,True
,-100,-100,,,,True
,-100,-100,,,,True
,-100,-100,,,,True
,-100,-100,,,,True
,-100,-100,,,,True
