mstorch_pt_ms,mstorch_pt_tf,mstorch_ms_tf,mstorch_lasttwo_dist,ms_distance,torch_distance,if_success
2.347946,-100,-100,0.06905551,5.086853,26.16633,True
2.5483673,-100,-100,0.074179314,3.483892,4.0767097,True
2.8446212,-100,-100,0.089130804,6.140499,3.1514072,True
1.2173913,-100,-100,0.056970984,6.527185,3.1514072,True
2.5134983,-100,-100,0.1122161,7.856743,5.9198723,True
2.4809754,-100,-100,0.11055563,9.945355,5.886075,True
2.4825308,-100,-100,0.11056783,9.955256,9.002139,True
2.4844072,-100,-100,0.11068742,9.974426,9.002139,True
5.6735005,-100,-100,0.23994184,12.44158,8.951566,True
5.6735005,-100,-100,0.23994184,12.44158,15.476552,True
5.705945,-100,-100,0.23911925,12.41049,15.183153,True
10.478661,-100,-100,0.37288016,18.214619,23.309084,True
10.478661,-100,-100,0.37288016,18.214619,26.16633,False
10.478661,-100,-100,0.37288016,18.214619,26.16633,False
10.478661,-100,-100,0.37288016,18.214619,26.16633,False
10.478661,-100,-100,0.37288016,18.214619,26.16633,False
10.478661,-100,-100,0.37288016,18.214619,26.16633,False
10.478661,-100,-100,0.37288016,18.214619,26.16633,False
10.478661,-100,-100,0.37288016,18.214619,26.16633,False
10.478661,-100,-100,0.37288016,18.214619,26.16633,False
