mstorch_pt_ms,mstorch_pt_tf,mstorch_ms_tf,mstorch_lasttwo_dist,ms_distance,torch_distance,if_success
5.0027076e-05,-100,-100,0.0009706373,0.18898769,0.14105146,True
5.700085e-05,-100,-100,0.0012255397,0.14104347,0.14105146,False
5.7000856e-05,-100,-100,0.0012255409,0.14104347,0.14105146,False
5.7000856e-05,-100,-100,0.0012255403,0.14104347,0.14105146,False
5.700085e-05,-100,-100,0.0012255403,0.14104347,0.14105146,False
5.7000834e-05,-100,-100,0.0012255393,0.14104347,0.14105146,False
5.7000856e-05,-100,-100,0.0012255398,0.14104347,0.14105146,False
5.700084e-05,-100,-100,0.0012255395,0.14104347,0.14105146,False
5.7000856e-05,-100,-100,0.00122554,0.14104347,0.14105146,False
5.7000867e-05,-100,-100,0.0012255406,0.14104347,0.14105146,False
