mut_types,mut_layer_name,mut_result
LS,"base.vgg_base.layers.14,base.vgg_base.layers.11",True
LS,"base.vgg_base.layers.16,base.vgg_base.layers.14",True
LS,"base.vgg_base.layers.14,base.vgg_base.layers.16",True
LS,"base.vgg_base.layers.16,base.vgg_base.layers.17",True
LS,"base.vgg_base.layers.8,base.vgg_base.layers.7",True
LS,"base.vgg_base.layers.2,base.vgg_base.layers.3",True
LS,"base.vgg_base.layers.8,base.vgg_base.layers.7",True
LS,"base.vgg_base.layers.17,base.vgg_base.layers.16",True
LS,"base.vgg_base.layers.14,base.vgg_base.layers.11",True
LS,"base.vgg_base.layers.7,base.vgg_base.layers.6",True
LS,"base.vgg_base.layers.17,base.vgg_base.layers.14",True
LS,"base.vgg_base.layers.22,base.vgg_base.layers.21",True
LS,"base.vgg_base.layers.2,base.vgg_base.layers.3",True
LS,"base.vgg_base.layers.6,base.vgg_base.layers.7",True
LS,"base.vgg_base.layers.7,base.vgg_base.layers.6",True
LS,"base.vgg_base.layers.20,base.vgg_base.layers.22",True
LS,"base.vgg_base.layers.6,base.vgg_base.layers.8",True
LS,"base.vgg_base.layers.8,base.vgg_base.layers.6",True
LS,"base.vgg_base.layers.20,base.vgg_base.layers.21",True
LS,"base.vgg_base.layers.1,base.vgg_base.layers.2",True
LS,"base.vgg_base.layers.14,base.vgg_base.layers.16",True
LS,"base.vgg_base.layers.1,base.vgg_base.layers.2",True
LS,"base.vgg_base.layers.14,base.vgg_base.layers.15",True
LS,"base.vgg_base.layers.12,base.vgg_base.layers.11",True
LS,"base.vgg_base.layers.16,base.vgg_base.layers.17",True
LS,"base.vgg_base.layers.21,base.vgg_base.layers.22",True
LS,"base.vgg_base.layers.12,base.vgg_base.layers.15",True
LS,"base.vgg_base.layers.2,base.vgg_base.layers.3",True
LS,"base.vgg_base.layers.1,base.vgg_base.layers.3",True
LS,"base.vgg_base.layers.12,base.vgg_base.layers.14",True
LS,"base.vgg_base.layers.16,base.vgg_base.layers.12",True
LS,"base.vgg_base.layers.2,base.vgg_base.layers.1",True
LS,"base.vgg_base.layers.3,base.vgg_base.layers.2",True
LS,"base.vgg_base.layers.11,base.vgg_base.layers.17",True
LS,"base.vgg_base.layers.11,base.vgg_base.layers.17",True
LS,"base.vgg_base.layers.16,base.vgg_base.layers.11",True
LS,"base.vgg_base.layers.11,base.vgg_base.layers.14",True
LS,"base.vgg_base.layers.6,base.vgg_base.layers.8",True
LS,"base.vgg_base.layers.14,base.vgg_base.layers.11",True
LS,"base.vgg_base.layers.2,base.vgg_base.layers.3",True
