mut_types,mut_layer_name,mut_result
LS,"encoded.9,encoded.10",True
LS,"encoded.6,encoded.5",True
LS,"encoded.5,encoded.7",True
LS,"encoded.7,encoded.5",True
LS,"encoded.7,encoded.5",True
LS,"encoded.11,encoded.9",True
LS,"encoded.7,encoded.5",True
LS,"encoded.9,encoded.11",True
LS,"encoded.5,encoded.6",True
LS,"encoded.7,encoded.6",True
LS,"encoded.7,encoded.5",True
LS,"encoded.6,encoded.5",True
LS,"encoded.9,encoded.10",True
LS,"encoded.7,encoded.6",True
LS,"encoded.7,encoded.5",True
LS,"encoded.7,encoded.5",True
LS,"encoded.11,encoded.10",True
LS,"encoded.5,encoded.7",True
LS,"encoded.9,encoded.11",True
LS,"encoded.5,encoded.7",True
LS,"encoded.9,encoded.10",True
LS,"encoded.9,encoded.10",True
LS,"encoded.9,encoded.10",True
LS,"encoded.7,encoded.6",True
LS,"encoded.7,encoded.6",True
LS,"encoded.5,encoded.7",True
LS,"encoded.6,encoded.5",True
LS,"encoded.10,encoded.11",True
LS,"encoded.9,encoded.11",True
LS,"encoded.7,encoded.6",True
LS,"encoded.9,encoded.11",True
LS,"encoded.11,encoded.10",True
LS,"encoded.5,encoded.7",True
LS,"encoded.5,encoded.6",True
LS,"encoded.6,encoded.7",True
LS,"encoded.11,encoded.10",True
LS,"encoded.10,encoded.11",True
LS,"encoded.11,encoded.10",True
LS,"encoded.9,encoded.11",True
LS,"encoded.10,encoded.9",True
