mut_types,mut_layer_name,mut_result
NAI,encoded.8,True
NAI,encoded.18,True
NAI,encoded.0,True
NAI,encoded.8,True
NAI,encoded.10,True
NAI,encoded.12,True
NAI,encoded.4,True
NAI,encoded.18,True
NAI,encoded.18,True
NAI,encoded.12,True
NAI,encoded.18,True
NAI,encoded.4,True
NAI,encoded.6,True
NAI,encoded.6,True
NAI,encoded.4,True
NAI,encoded.2,True
NAI,encoded.6,True
NAI,encoded.18,True
NAI,encoded.16,True
NAI,encoded.2,True
NAI,encoded.10,True
NAI,encoded.0,True
NAI,encoded.12,True
NAI,encoded.18,True
NAI,encoded.12,True
NAI,encoded.18,True
NAI,encoded.10,True
NAI,encoded.2,True
NAI,encoded.12,True
NAI,encoded.12,True
NAI,encoded.8,True
NAI,encoded.10,True
NAI,encoded.2,True
NAI,encoded.6,True
NAI,encoded.4,True
NAI,encoded.2,True
NAI,encoded.14,True
NAI,encoded.10,True
NAI,encoded.8,True
NAI,encoded.10,True
NAI,encoded.14,True
NAI,encoded.2,True
NAI,encoded.16,True
NAI,encoded.4,True
NAI,encoded.16,True
NAI,encoded.16,True
NAI,encoded.12,True
NAI,encoded.0,True
NAI,encoded.14,True
NAI,encoded.4,True
NAI,encoded.4,True
NAI,encoded.18,True
NAI,encoded.16,True
NAI,encoded.18,True
NAI,encoded.14,True
NAI,encoded.14,True
NAI,encoded.8,True
NAI,encoded.16,True
NAI,encoded.14,True
NAI,encoded.4,True
NAI,encoded.0,True
NAI,encoded.4,True
NAI,encoded.0,True
NAI,encoded.2,True
NAI,encoded.6,True
NAI,encoded.16,True
NAI,encoded.4,True
NAI,encoded.4,True
NAI,encoded.4,True
NAI,encoded.14,True
NAI,encoded.10,True
NAI,encoded.12,True
NAI,encoded.16,True
NAI,encoded.2,True
NAI,encoded.12,True
NAI,encoded.16,True
NAI,encoded.6,True
NAI,encoded.10,True
NAI,encoded.8,True
NAI,encoded.4,True
NAI,encoded.8,True
NAI,encoded.14,True
NAI,encoded.4,True
NAI,encoded.14,True
NAI,encoded.2,True
NAI,encoded.12,True
NAI,encoded.2,True
NAI,encoded.16,True
NAI,encoded.2,True
NAI,encoded.4,True
NAI,encoded.10,True
NAI,encoded.0,True
NAI,encoded.4,True
NAI,encoded.2,True
NAI,encoded.18,True
NAI,encoded.4,True
NAI,encoded.18,True
NAI,encoded.14,True
NAI,encoded.12,True
NAI,encoded.8,True
