mut_types,mut_layer_name,mut_result
NAI,decoded.10,True
NAI,decoded.6,True
NAI,decoded.14,True
NAI,decoded.4,True
NAI,decoded.14,True
NAI,decoded.16,True
NAI,decoded.12,True
NAI,decoded.12,True
NAI,decoded.2,True
NAI,decoded.2,True
NAI,decoded.2,True
NAI,decoded.4,True
NAI,decoded.4,True
NAI,decoded.12,True
NAI,decoded.6,True
NAI,decoded.2,True
NAI,decoded.4,True
NAI,decoded.4,True
NAI,decoded.14,True
NAI,decoded.14,True
NAI,decoded.14,True
NAI,decoded.16,True
NAI,decoded.12,True
NAI,decoded.6,True
NAI,decoded.8,True
NAI,decoded.12,True
NAI,decoded.10,True
NAI,decoded.14,True
NAI,decoded.18,True
NAI,decoded.10,True
NAI,decoded.2,True
NAI,decoded.6,True
NAI,decoded.6,True
NAI,decoded.16,True
NAI,decoded.8,True
NAI,decoded.18,True
NAI,decoded.12,True
NAI,decoded.8,True
NAI,decoded.16,True
NAI,decoded.2,True
NAI,decoded.14,True
NAI,decoded.2,True
NAI,decoded.4,True
NAI,decoded.14,True
NAI,decoded.6,True
NAI,decoded.2,True
NAI,decoded.4,True
NAI,decoded.10,True
NAI,decoded.14,True
NAI,decoded.14,True
NAI,decoded.18,True
NAI,decoded.6,True
NAI,decoded.6,True
NAI,decoded.12,True
NAI,decoded.14,True
NAI,decoded.8,True
NAI,decoded.16,True
NAI,decoded.14,True
NAI,decoded.10,True
NAI,decoded.16,True
NAI,decoded.10,True
NAI,decoded.16,True
NAI,decoded.16,True
NAI,decoded.16,True
NAI,decoded.12,True
NAI,decoded.16,True
NAI,decoded.10,True
NAI,decoded.14,True
NAI,decoded.8,True
NAI,decoded.12,True
NAI,decoded.12,True
NAI,decoded.16,True
NAI,decoded.6,True
NAI,decoded.14,True
NAI,decoded.12,True
NAI,decoded.4,True
NAI,decoded.18,True
NAI,decoded.2,True
NAI,decoded.8,True
NAI,decoded.4,True
NAI,decoded.10,True
NAI,decoded.4,True
NAI,decoded.16,True
NAI,decoded.12,True
NAI,decoded.14,True
NAI,decoded.16,True
NAI,decoded.14,True
NAI,decoded.16,True
NAI,decoded.12,True
NAI,decoded.10,True
NAI,decoded.4,True
NAI,decoded.4,True
NAI,decoded.18,True
NAI,decoded.14,True
NAI,decoded.4,True
NAI,decoded.2,True
NAI,decoded.14,True
NAI,decoded.2,True
NAI,decoded.12,True
NAI,decoded.16,True
