mstorch_pt_ms,mstorch_pt_tf,mstorch_ms_tf,mstorch_lasttwo_dist,ms_distance,torch_distance,if_success
0.3234696,-100,-100,0.06990308,6.4361167,3.7154503,True
0.3486759,-100,-100,0.06363313,6.9957137,1.605883,True
0.38696137,-100,-100,0.07855929,7.727069,1.6053774,True
0.5423963,-100,-100,0.08737518,6.9581084,3.375169,True
0.46518654,-100,-100,0.08907269,7.2062645,4.2368917,True
0.46518654,-100,-100,0.08907269,7.4262323,4.8208666,True
0.6006533,-100,-100,0.098638676,7.2612686,4.6678023,True
0.68891126,-100,-100,0.08910091,7.662303,4.6135387,True
0.5897078,-100,-100,0.092849866,7.3239937,3.3553443,True
0.5023059,-100,-100,0.103992775,8.045691,3.1497307,True
0.5320881,-100,-100,0.09713838,8.932577,3.9082007,True
0.6046197,-100,-100,0.111065365,6.0012374,4.012033,True
0.59977716,-100,-100,0.10823165,8.441832,4.6041083,True
0.5571402,-100,-100,0.093922645,6.54292,4.460021,True
0.6264279,-100,-100,0.10038791,8.244362,4.129934,True
0.6264279,-100,-100,0.10038791,8.29831,4.2843237,True
0.6979591,-100,-100,0.09666304,8.540118,4.280082,True
0.54075533,-100,-100,0.08307393,7.993989,4.07487,True
0.42840168,-100,-100,0.091413006,7.7202196,4.167995,True
0.5438826,-100,-100,0.093266234,7.71461,3.9176636,True
