pt_ms,pt_tf,ms_tf
3.0678888e-07,8.5634035e-08,2.9482368e-07
3.1073154e-07,8.47552e-08,2.9925977e-07
3.081548e-07,1.0863405e-07,3.5611137e-07
3.0806137e-07,1.0914874e-07,3.565371e-07
3.0688977e-07,8.354624e-08,2.97009e-07
3.0664785e-07,8.082191e-08,2.950052e-07
3.1118276e-07,8.2834866e-08,2.9701835e-07
3.093579e-07,8.2873214e-08,2.981336e-07
3.1012405e-07,8.309402e-08,2.9737564e-07
3.1786504e-07,8.492849e-08,3.049214e-07
3.2506182e-07,9.456344e-08,2.98844e-07
4.011632e-07,1.0670674e-07,3.7496997e-07
4.0153873e-07,1.0765254e-07,3.7463695e-07
3.978198e-07,1.0874798e-07,3.8046622e-07
4.1538672e-07,1.0872215e-07,3.948617e-07
4.2493204e-07,1.1069031e-07,4.045786e-07
4.315247e-07,1.0882994e-07,4.0847735e-07
4.30101e-07,1.0891153e-07,4.0633122e-07
4.124943e-07,1.1274788e-07,3.925139e-07
6.8639616e-07,2.389425e-07,6.457033e-07
