pt_ms,pt_tf,ms_tf
9.891377e-06,5.9821714e-06,1.0153587e-05
1.3318265e-05,9.864052e-06,1.0024912e-05
6.2793074e-06,4.142091e-06,6.4446795e-06
6.216818e-06,6.121642e-06,2.6888304e-06
4.1664816e-06,3.4993902e-06,3.818353e-06
3.760286e-06,3.6275396e-06,3.575551e-06
7.2219295e-06,8.765303e-06,7.2452667e-06
4.457432e-06,4.3679124e-06,3.130643e-06
4.6214213e-06,4.6713117e-06,3.2491837e-06
4.7270296e-06,4.5817624e-06,3.2042383e-06
5.6325384e-06,6.7072197e-06,5.9985837e-06
1.1799662e-05,1.27592e-05,6.761206e-06
4.612553e-06,4.5082966e-06,3.1773823e-06
4.879457e-06,4.7855956e-06,3.2985592e-06
0.00015187607,5.0337778e-05,0.0001562869
0.00013180317,4.9494585e-05,0.00013740636
1.0004374e-06,7.8084184e-07,9.423721e-07
2.2400933e-05,5.2953335e-05,3.5987498e-05
1.0799808e-06,1.3883848e-06,1.3469609e-06
7.6880445e-07,7.064462e-07,3.3085033e-07
