mut_types,mut_layer_name,mut_result
WS,resnet.layer3.15.conv1,True
WS,resnet.layer2.2.conv2,True
WS,resnet.layer2.3.conv1,True
WS,resnet.layer1.1.conv3,True
WS,resnet.layer3.8.conv2,True
WS,resnet.layer4.2.conv1,True
WS,resnet.layer1.0.conv2,True
WS,resnet.layer3.3.conv1,True
WS,resnet.layer3.14.conv2,True
WS,resnet.layer3.12.conv3,True
WS,resnet.layer3.16.conv1,True
WS,resnet.layer3.9.conv2,True
WS,resnet.layer4.0.conv3,True
WS,resnet.layer3.12.conv3,True
WS,resnet.layer3.13.conv1,True
WS,resnet.layer3.22.conv1,True
WS,resnet.layer1.1.conv1,True
WS,resnet.layer2.0.conv3,True
WS,resnet.layer3.16.conv3,True
WS,resnet.layer3.0.conv1,True
WS,resnet.layer3.8.conv2,True
WS,resnet.layer4.2.conv3,True
WS,resnet.layer3.17.conv1,True
WS,resnet.layer3.22.conv2,True
WS,resnet.layer3.5.conv2,True
WS,resnet.layer3.8.conv1,True
WS,resnet.layer3.1.conv1,True
WS,resnet.layer3.9.conv1,True
WS,resnet.layer3.11.conv1,True
WS,resnet.layer3.17.conv3,True
WS,resnet.layer3.19.conv1,True
WS,resnet.layer3.20.conv2,True
WS,resnet.layer3.21.conv3,True
WS,resnet.layer4.0.conv2,True
WS,resnet.layer3.12.conv3,True
WS,resnet.layer2.1.conv3,True
WS,resnet.layer3.7.conv1,True
WS,resnet.layer3.12.conv3,True
WS,resnet.layer4.2.conv1,True
WS,resnet.layer3.21.conv1,True
WS,resnet.layer4.2.conv3,True
WS,resnet.layer3.15.conv3,True
WS,resnet.layer3.12.conv1,True
WS,resnet.layer3.5.conv2,True
WS,resnet.layer3.14.conv1,True
WS,resnet.layer2.3.conv3,True
WS,resnet.layer1.1.conv1,True
WS,resnet.layer3.6.conv2,True
WS,resnet.layer3.8.conv3,True
WS,resnet.layer3.3.conv1,True
WS,resnet.layer1.1.conv1,True
WS,resnet.layer3.20.conv2,True
WS,resnet.layer3.14.conv3,True
WS,resnet.layer1.1.conv3,True
WS,resnet.layer2.1.conv2,True
WS,resnet.layer3.9.conv1,True
WS,resnet.layer1.2.conv2,True
WS,resnet.layer3.5.conv3,True
WS,resnet.layer2.1.conv3,True
WS,resnet.layer3.21.conv2,True
WS,resnet.layer1.0.conv2,True
WS,resnet.layer2.2.conv3,True
WS,resnet.layer3.13.conv2,True
WS,resnet.layer2.3.conv1,True
WS,resnet.layer2.0.conv1,True
WS,resnet.layer3.2.conv3,True
WS,resnet.layer3.6.conv3,True
WS,resnet.layer3.11.conv2,True
WS,resnet.layer1.0.conv2,True
WS,resnet.layer3.4.conv3,True
WS,resnet.layer2.1.conv3,True
WS,resnet.layer2.1.conv2,True
WS,resnet.layer3.4.conv1,True
WS,resnet.layer3.9.conv1,True
WS,resnet.layer4.0.conv2,True
WS,resnet.layer3.0.conv3,True
WS,resnet.layer3.21.conv1,True
WS,resnet.layer3.2.conv1,True
WS,resnet.layer3.9.conv1,True
WS,resnet.layer3.21.conv3,True
WS,resnet.layer3.11.conv3,True
WS,resnet.layer3.12.conv3,True
WS,resnet.layer3.10.conv2,True
WS,resnet.layer3.3.conv1,True
WS,resnet.layer2.1.conv2,True
WS,resnet.layer4.1.conv1,True
WS,resnet.layer4.2.conv2,True
WS,resnet.layer2.0.downsample.0,True
WS,resnet.layer4.0.conv2,True
WS,resnet.layer1.0.conv1,True
WS,resnet.layer3.16.conv1,True
WS,resnet.layer3.9.conv2,True
WS,resnet.layer3.22.conv3,True
WS,resnet.layer4.2.conv3,True
WS,resnet.layer2.2.conv1,True
WS,resnet.layer3.15.conv1,True
WS,resnet.layer3.8.conv1,True
WS,resnet.layer2.0.downsample.0,True
WS,resnet.layer3.22.conv3,True
WS,resnet.layer3.10.conv3,True
