pt_ms,pt_tf,ms_tf
1.1273678e-05,3.4894856e-06,1.0238722e-05
6.3561392e-06,5.1923475e-06,4.5750235e-06
3.5939279e-06,3.836516e-06,2.814043e-06
1.7649057e-06,9.5301624e-07,1.3601984e-06
7.754616e-07,5.96574e-07,5.5434697e-07
4.065932e-07,2.3425156e-07,3.362634e-07
8.074516e-07,3.6657462e-07,5.8406283e-07
5.6976756e-07,3.0473961e-07,5.512544e-07
3.9908926e-07,2.4286362e-07,3.747966e-07
2.7026798e-07,1.2661057e-07,2.2739268e-07
2.132574e-07,1.2236255e-07,1.9521103e-07
1.8942875e-07,1.0837676e-07,1.6976269e-07
3.2975092e-07,2.3890917e-07,2.32671e-07
4.2262343e-07,2.2232636e-07,3.09908e-07
2.4691394e-07,1.2588967e-07,2.2186546e-07
2.7470375e-07,1.5922173e-07,1.9942709e-07
2.0755385e-07,1.0744667e-07,1.7635517e-07
1.8946935e-07,1.04681774e-07,1.7682208e-07
1.8892457e-07,9.7252084e-08,1.8821117e-07
2.681373e-07,1.1974696e-07,2.1165016e-07
