mstorch_pt_ms,mstorch_pt_tf,mstorch_ms_tf,mstorch_lasttwo_dist,ms_distance,torch_distance,if_success
0.43733257,-100,-100,0.8571644,1.2443703e-06,1.8685065e+29,True
0.44242293,-100,-100,0.87470734,4.655055e-06,0.12344017,True
0.6022855,-100,-100,1.211405,6.4948763e-06,0.12348012,True
2.0631204,-100,-100,2.0631204,1.13989745e-05,0.12559275,True
4.290625,-100,-100,4.290625,1.205616e-05,0.1284829,True
18.011875,-100,-100,18.011875,1.3696091e-05,0.19779588,True
104.0005,-100,-100,104.0005,1.8863664e-05,57.842,True
284.89462,-100,-100,284.89462,2.6902007e-05,4864996.5,True
369.1749,-100,-100,369.1749,2.3462711e-05,190706030000000.0,True
509.13144,-100,-100,509.13144,2.5138166e-05,274143350000000.0,True
