mstorch_pt_ms,mstorch_pt_tf,mstorch_ms_tf,mstorch_lasttwo_dist,ms_distance,torch_distance,if_success
1.1445649,-100,-100,6.8414607,0.0,739.64166,True
175.0666,-100,-100,823.29144,10.383282,11.43296,True
820.01843,-100,-100,5965.4434,489.8341,443.15933,True
1003782.94,-100,-100,21447.37,332458.2,309.17712,True
18690520.0,-100,-100,346666.28,7233242.0,494.61682,True
10547.473,-100,-100,301.8391,7233814.0,854.23456,True
21247377000000.0,-100,-100,350216680000.0,5920.6943,647.9867,False
21247457000000.0,-100,-100,350217000000.0,8369824000000.0,837.1266,True
100093.06,-100,-100,670567.75,1759693600.0,335.1651,True
130260.36,-100,-100,670578.6,4.8987784,59648.79,True
119358.375,-100,-100,4534331.0,4.8987784,75517.39,True
275806.2,-100,-100,8575.243,4.898787,55087.055,True
279535.4,-100,-100,8575.243,4.898787,130054.64,True
276155.44,-100,-100,8575.244,4.898787,134955.19,True
276115.16,-100,-100,135110.78,4.898787,127048.914,False
950.64124,-100,-100,135110.78,4.898787,127022.34,True
939.3851,-100,-100,1900578.2,4.898787,695.4907,False
964.0516,-100,-100,1900578.0,4.898787,692.80054,True
947.83575,-100,-100,1900578.1,4.898787,690.78424,True
1529.4601,-100,-100,656.85345,769.6292,705.80286,True
