mstorch_pt_ms,mstorch_pt_tf,mstorch_ms_tf,mstorch_lasttwo_dist,ms_distance,torch_distance,if_success
0.2780015,-100,-100,1.6852566,0.62384725,246578510.0,True
0.7153163,-100,-100,18.40807,3.3984876,3.8009453,True
0.4279927,-100,-100,10.219402,4.750119,6.495714,True
1.8919985,-100,-100,4.2718663,12.436289,4.9229016,True
22.446869,-100,-100,51.097652,43.192795,23.959873,True
21.576828,-100,-100,49.173767,39.408543,76.806404,True
63.1419,-100,-100,118.769035,73.923485,100.11037,True
215.543,-100,-100,405.7841,127.328766,256.44217,True
524.5312,-100,-100,988.5411,569.25024,961.8342,True
4635.2026,-100,-100,8929.762,1587.0145,4453.419,True
3707.599,-100,-100,7146.3413,3634.713,9153.0,True
5370.15,-100,-100,10342.773,3790.7144,10105.61,True
8861.706,-100,-100,17124.611,7013.6084,16058.037,True
32391.896,-100,-100,64715.68,18022.25,35574.215,True
47649.59,-100,-100,95194.266,69890.82,170273.28,True
500195.47,-100,-100,999616.2,205012.64,350710.25,True
4464391.0,-100,-100,8922171.0,1547065.8,3246492.0,True
7425808.0,-100,-100,14818419.0,11518339.0,21784676.0,True
22446996.0,-100,-100,44789550.0,28383588.0,66801390.0,True
43005748.0,-100,-100,85809800.0,63770004.0,137757630.0,True
